□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 안민동,1**,단독,8m미만,207.8,193,201912,17,"        26,000",2007,안민로159번길
경상남도 창원성산구 중앙동,5*,다가구,12m미만,184.02,204.8,201912,30,"        42,100",2009,외동반림로46번길
경상남도 창원성산구 중앙동,4*,다가구,12m미만,241.86,243.6,201910,8,"        65,332",2019,외동반림로38번길
경상남도 창원성산구 중앙동,1**,다가구,12m미만,235.72,248.1,202005,1,"        58,300",2010,용지로21번길
경상남도 창원성산구 중앙동,6*,다가구,12m미만,329.56,250.9,201907,11,"        38,500",1994,외동반림로80번길
경상남도 창원성산구 중앙동,1*,다가구,12m미만,253.44,254.4,201910,17,"        69,075",2019,외동반림로130번길
경상남도 창원성산구 중앙동,1*,다가구,12m미만,381.1,259,202006,13,"        52,000",2002,외동반림로130번길
경상남도 창원성산구 중앙동,3*,다가구,12m미만,258.52,260.9,201908,26,"        69,181",2019,외동반림로54번길
경상남도 창원성산구 중앙동,5*,다가구,12m미만,259.05,263.1,201907,10,"        70,373",2019,외동반림로54번길
경상남도 창원성산구 중앙동,1*,다가구,12m미만,427.46,263.2,201911,28,"        72,000",1990,외동반림로126번길
경상남도 창원성산구 중앙동,6*,다가구,12m미만,254.92,266.9,202002,10,"        63,900",2011,외동반림로20번길
경상남도 창원성산구 중앙동,5*,다가구,25m미만,434.88,289.3,202001,2,"        72,500",2004,외동반림로74번길
경상남도 창원성산구 중앙동,3*,다가구,25m미만,284.4,292.4,201910,7,"        84,660",2019,외동반림로74번길
경상남도 창원성산구 중앙동,8*,단독,12m미만,134.71,199.1,202006,3,"        86,000",1974,용지로113번길
경상남도 창원성산구 중앙동,2*,단독,25m미만,188.43,237.2,202001,20,"        35,000",1984,외동반림로
경상남도 창원성산구 중앙동,5*,단독,12m미만,191.52,241,202004,18,"        45,000",1986,외동반림로50번길
경상남도 창원성산구 중앙동,*,단독,12m미만,164.58,246.3,202003,27,"        38,000",1987,외동반림로142번길
경상남도 창원성산구 중앙동,*,단독,12m미만,364.14,246.5,201909,17,"        65,000",2001,외동반림로142번길
경상남도 창원성산구 중앙동,1**,단독,12m미만,236.7,248.19,202003,21,"        54,000",2006,용지로21번길
경상남도 창원성산구 중앙동,6*,단독,12m미만,175.68,249.2,202006,5,"        39,000",1982,외동반림로80번길
경상남도 창원성산구 중앙동,*,단독,12m미만,163.9,251.9,202006,11,"        43,000",1987,외동반림로142번길
경상남도 창원성산구 중앙동,2*,단독,25m미만,314.28,256.2,202003,27,"        56,000",1987,외동반림로
경상남도 창원성산구 중앙동,5*,단독,12m미만,141.03,259.3,201907,29,"        33,000",1979,외동반림로20번길
