□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
66,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202206,14,"26,250",15,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
67,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202206,13,"9,600",4,-,-,2017, ,-,직거래,-
68,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202206,10,"14,027",3,-,-,2019,용동로57번안길 9-11,-,직거래,-
69,경상남도 창원시 의창구 사림동,25,0025,0000,우영프라자,31.1300,202206,04,"5,750",5,-,-,2003,용지로293번길 28,-,중개거래,경남 창원의창구
70,경상남도 창원시 의창구 소답동,106-7,0106,0007,형제빌딩,33.4500,202206,01,"5,000",5,-,-,2001,읍성로 57,-,직거래,-
71,경상남도 창원시 의창구 동읍 용잠리,468,0468,0000,동읍 다숲 아파트,50.8500,202205,17,"10,000",7,-,-,2016,용잠로 19,-,중개거래,경남 김해시
72,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202205,17,"18,500",13,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
73,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202205,11,"14,027",3,-,-,2019,용동로57번안길 9-11,-,직거래,-
74,경상남도 창원시 의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,84.0351,202205,10,"16,000",2,-,-,2017, ,-,직거래,-
75,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,44.0343,202205,09,"21,000",8,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
76,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202205,04,"13,000",4,-,-,2019,용동로57번안길 9-11,-,직거래,-
77,경상남도 창원시 의창구 소답동,156-4,0156,0004,노블하우스,48.1775,202204,28,"8,000",3,-,-,2012,읍성로117번길 12,-,중개거래,경남 창원의창구
78,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202204,22,"13,000",3,-,-,2019,용동로57번안길 9-11,-,직거래,-
79,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202204,16,"14,300",6,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
80,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,26.9700,202204,14,"5,300",4,-,-,2004,창원대로397번길 8-9,-,직거래,-
81,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,27.5040,202204,12,"13,700",8,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
82,경상남도 창원시 의창구 소답동,156-4,0156,0004,노블하우스,48.1775,202204,10,"8,000",3,-,-,2012,읍성로117번길 12,20220428,중개거래,경남 창원의창구
83,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202204,02,"10,600",6,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
84,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202204,01,"33,000",7,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
85,경상남도 창원시 의창구 명서동,199-8,0199,0008,장복빌딩,34.5000,202203,31,"3,300",9,-,-,1991,창이대로113번길 6,-,중개거래,경남 창원의창구
86,경상남도 창원시 의창구 사림동,25,0025,0000,우영프라자,31.1300,202203,25,"5,600",5,-,-,2003,용지로293번길 28,-,직거래,-
87,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202203,21,"10,300",14,-,-,2017, ,-,직거래,-
88,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202203,19,"37,000",30,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
89,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202203,19,"11,943",3,-,-,2019,용동로57번안길 9-11,-,직거래,-
90,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202203,18,"12,500",7,-,-,2019,용동로 45,-,직거래,-
91,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202203,17,"13,300",5,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
92,경상남도 창원시 의창구 팔용동,31-2,0031,0002,한미코보스텔,32.1370,202203,07,"5,000",3,-,-,2004,창원대로397번길 8-9,-,직거래,-
93,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,27.5040,202203,05,"13,750",6,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
94,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202202,25,"13,000",6,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
95,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202202,21,"16,800",8,-,-,2019,용동로 45,-,직거래,-
96,경상남도 창원시 의창구 사림동,162-2,0162,0002,해금 Science Town,25.1270,202202,20,"13,684",8,-,-,2019, ,-,직거래,-
97,경상남도 창원시 의창구 용동,162-5,0162,0005,미래리움,30.7214,202202,18,"15,803",3,-,-,2018, ,-,직거래,-
98,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202202,18,"15,113",5,-,-,2019,용동로 45,-,중개거래,경남 창원성산구
99,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202202,18,"14,897",4,-,-,2019,용동로 45,-,중개거래,경남 창원성산구
100,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202202,16,"34,000",36,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
101,경상남도 창원시 의창구 소답동,156-4,0156,0004,노블하우스,48.1775,202202,14,"9,000",6,-,-,2012,읍성로117번길 12,-,중개거래,경남 창원의창구
102,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202202,10,"13,400",7,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
103,경상남도 창원시 의창구 북동,143,0143,0000,리앤아이테르,21.3600,202202,10,"2,500",4,-,-,2013,의안로59번길 26,-,중개거래,경남 창원의창구
104,경상남도 창원시 의창구 북동,143,0143,0000,리앤아이테르,24.7200,202202,10,"2,800",1,-,-,2013,의안로59번길 26,-,중개거래,경남 창원성산구 경남 창원의창구
105,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202202,10,"26,000",8,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
106,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202202,09,"24,300",9,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
107,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트 아티움시티,84.9210,202201,27,"43,000",7,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원의창구
108,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202201,24,"18,500",9,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
109,경상남도 창원시 의창구 사림동,162-2,0162,0002,해금 Science Town,25.3455,202201,22,"12,715",9,-,-,2019, ,-,직거래,-
110,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202201,15,"13,400",5,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
111,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.7800,202201,12,"5,000",6,-,-,,지귀로24번길 16,-,직거래,-
112,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,33.6000,202201,12,"5,000",8,-,-,,지귀로24번길 16,-,직거래,-
113,경상남도 창원시 의창구 봉곡동,32-4,0032,0004,우성빌딩,34.1600,202201,12,"5,000",6,-,-,,지귀로24번길 16,-,직거래,-
114,경상남도 창원시 의창구 명서동,199-8,0199,0008,장복빌딩,34.9600,202201,11,"3,300",8,-,-,1991,창이대로113번길 6,-,중개거래,경남 창원의창구
115,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,22.6421,202201,10,"18,400",12,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
116,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,28.2619,202201,10,"14,000",7,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
117,경상남도 창원시 의창구 소답동,156-4,0156,0004,노블하우스,48.1775,202201,05,"8,700",6,-,-,2012,읍성로117번길 12,-,중개거래,경남 창원의창구
118,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202201,04,"35,000",15,-,-,2019,중동중앙로 47,-,중개거래,경남 창원의창구
119,경상남도 창원시 의창구 사림동,162-2,0162,0002,해금 Science Town,28.4930,202201,03,"14,790",9,-,-,2019, ,-,직거래,-
