□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
78,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,23.2698,202011,04,"9,700",27,-,-,2019,동서동2길 60,-,-,-
79,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,28.0000,202010,29,"3,000",8,-,-,2006,해안대로 367,-,-,-
80,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,37.4400,202010,22,"3,000",4,-,-,2003,노산남7길 28,-,-,-
81,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,46.8000,202010,20,"3,683",2,-,-,2003,노산남7길 28,-,-,-
82,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,37.4400,202010,20,"2,965",2,-,-,2003,노산남7길 28,-,-,-
83,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,47.3400,202010,20,"6,507",13,-,-,1998,동서동2길 41,-,-,-
84,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,46.8000,202010,20,"3,970",6,-,-,2003,노산남7길 28,-,-,-
85,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,46.8000,202010,20,"3,970",5,-,-,2003,노산남7길 28,-,-,-
86,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,46.8000,202010,20,"3,778",3,-,-,2003,노산남7길 28,-,-,-
87,경상남도 창원시 마산합포구 상남동,108-1,0108,0001,한우O/T빌딩,46.8000,202010,20,"3,970",4,-,-,2003,노산남7길 28,-,-,-
88,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,25.5440,202010,19,"4,280",3,-,-,2017,해안대로 376,-,-,-
89,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202010,19,"2,000",8,-,-,1999,월영동13길 9,-,-,-
90,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,25.5440,202010,19,"4,280",4,-,-,2017,해안대로 376,-,-,-
91,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,22.4650,202010,19,"4,140",9,-,-,2017,해안대로 376,-,-,-
92,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,25.5440,202010,19,"4,280",3,-,-,2017,해안대로 376,-,-,-
93,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,25.5440,202010,19,"4,280",5,-,-,2017,해안대로 376,-,-,-
94,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,22.4650,202010,19,"3,800",3,-,-,2017,해안대로 376,-,-,-
95,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,26.4000,202010,17,"2,000",8,-,-,1999,월영동13길 9,20201019,-,-
96,경상남도 창원시 마산합포구 홍문동,12-1,0012,0001,(주)상신기업,39.6800,202010,15,"7,500",8,-,-,2012,문화남11길 7,-,-,-
97,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202010,14,"5,600",10,-,-,2003,3·15대로 47,-,-,-
98,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,25.1780,202010,14,"5,650",12,-,-,2003,3·15대로 47,-,-,-
99,경상남도 창원시 마산합포구 중앙동2가,3-6,0003,0006,희가로플러스,55.3481,202010,12,"7,000",6,-,-,2011,3·15대로 185,-,-,-
100,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202009,29,"5,250",6,-,-,2003,3·15대로 47,-,-,-
101,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",13,-,-,2018,문화의길 15,-,-,-
102,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,400",14,-,-,2018,문화의길 15,-,-,-
103,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",18,-,-,2018,문화의길 15,-,-,-
104,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",19,-,-,2018,문화의길 15,-,-,-
105,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",10,-,-,2018,문화의길 15,-,-,-
106,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",13,-,-,2018,문화의길 15,-,-,-
107,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",10,-,-,2018,문화의길 15,-,-,-
108,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,400",13,-,-,2018,문화의길 15,-,-,-
109,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,400",10,-,-,2018,문화의길 15,-,-,-
110,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",18,-,-,2018,문화의길 15,-,-,-
111,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",17,-,-,2018,문화의길 15,-,-,-
112,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",14,-,-,2018,문화의길 15,-,-,-
113,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,400",12,-,-,2018,문화의길 15,-,-,-
114,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",17,-,-,2018,문화의길 15,-,-,-
115,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",17,-,-,2018,문화의길 15,-,-,-
116,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,400",10,-,-,2018,문화의길 15,-,-,-
117,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",16,-,-,2018,문화의길 15,-,-,-
118,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",14,-,-,2018,문화의길 15,-,-,-
119,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",16,-,-,2018,문화의길 15,-,-,-
120,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",12,-,-,2018,문화의길 15,-,-,-
121,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",12,-,-,2018,문화의길 15,-,-,-
122,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",15,-,-,2018,문화의길 15,-,-,-
123,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",11,-,-,2018,문화의길 15,-,-,-
124,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",11,-,-,2018,문화의길 15,-,-,-
125,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",15,-,-,2018,문화의길 15,-,-,-
126,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",19,-,-,2018,문화의길 15,-,-,-
127,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",14,-,-,2018,문화의길 15,-,-,-
128,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",10,-,-,2018,문화의길 15,-,-,-
129,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",19,-,-,2018,문화의길 15,-,-,-
130,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202009,24,"14,000",13,-,-,2018,문화의길 15,-,-,-
131,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202009,23,"2,400",13,-,-,1999,해안대로 15,-,-,-
132,경상남도 창원시 마산합포구 산호동,7-5,0007,0005,동인노블리앙,40.1800,202009,23,"4,530",2,-,-,2004,산호북19길 11,-,-,-
133,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,24.6817,202009,19,"10,300",19,-,-,2019,동서동2길 60,-,-,-
134,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,21.4400,202009,11,"2,920",14,-,-,1999,해안대로 15,-,-,-
