□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
77,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,128.2300,202110,28,"38,000",33,-,-,2008,중앙대로 48,-,-,-
78,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,34.2300,202110,28,"6,400",7,-,-,2005,중앙대로100번길 14,-,-,-
79,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,26,"43,000",20,-,-,2008,중앙대로 48,-,-,-
80,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,53.3200,202110,25,"7,850",6,-,-,2004,중앙대로 33,-,-,-
81,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202110,25,"34,000",26,-,-,2008,중앙대로 48,-,-,-
82,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,46.2200,202110,25,"9,650",13,-,-,2006,중앙대로 104,-,-,-
83,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,128.2300,202110,25,"38,000",19,-,-,2008,중앙대로 48,-,-,-
84,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,53.3200,202110,25,"7,850",6,-,-,2004,중앙대로 33,20211116,-,-
85,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,24,"38,000",6,-,-,2008,중앙대로 48,-,-,-
86,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202110,24,"29,000",9,-,-,2008,중앙대로 48,-,-,-
87,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,29.4800,202110,22,"5,300",14,-,-,2004,중앙대로 33,-,-,-
88,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202110,22,"31,500",17,-,-,2008,중앙대로 48,-,-,-
89,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202110,20,"5,150",18,-,-,2016,상남로 75,-,-,-
90,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,20,"47,000",25,-,-,2008,중앙대로 48,20211207,-,-
91,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,20,"46,000",28,-,-,2008,중앙대로 48,-,-,-
92,경상남도 창원시 성산구 상남동,9-3,0009,0003,메르디앙빌딩,29.5600,202110,20,"3,700",6,-,-,2003,마디미로9번길 7,-,-,-
93,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,58.9000,202110,19,"14,300",8,-,-,2005,중앙대로100번길 14,-,-,-
94,경상남도 창원시 성산구 중앙동,96-4,0096,0004,창원리제스타워,41.2800,202110,19,"7,900",15,-,-,2004,중앙대로 85,-,-,-
95,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202110,18,"41,000",6,-,-,2009, 320,-,-,-
96,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,61.4475,202110,16,"11,700",8,-,-,2005,중앙대로100번길 14,-,-,-
97,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202110,15,"5,150",14,-,-,2016,상남로 75,-,-,-
98,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,128.2300,202110,15,"35,800",24,-,-,2008,중앙대로 48,-,-,-
99,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,29.4480,202110,15,"6,500",14,-,-,2006,중앙대로 104,-,-,-
100,경상남도 창원시 성산구 중앙동,96-4,0096,0004,창원리제스타워,24.9600,202110,14,"4,800",4,-,-,2004,중앙대로 85,-,-,-
101,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,13,"38,000",17,-,-,2008,중앙대로 48,-,-,-
102,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,24.9400,202110,13,"3,500",7,-,-,2003,중앙대로 75,-,-,-
103,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202110,13,"4,900",8,-,-,1990,용지로 70,-,-,-
104,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,13,"38,500",30,-,-,2008,중앙대로 48,-,-,-
105,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,22.0900,202110,12,"5,000",11,-,-,2006,중앙대로 104,-,-,-
106,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202110,11,"30,800",21,-,-,2008,중앙대로 48,-,-,-
107,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,61.8000,202110,11,"5,700",9,-,-,1990,용지로 70,-,-,-
108,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,11,"37,000",32,-,-,2008,중앙대로 48,-,-,-
109,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,11,"44,390",17,-,-,2008,중앙대로 48,-,-,-
110,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,36.6700,202110,09,"3,900",13,-,-,2003,용지로 96,-,-,-
111,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,08,"36,000",24,-,-,2008,중앙대로 48,-,-,-
112,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202110,08,"54,800",25,-,-,2009, 320,20211103,-,-
113,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,32.1600,202110,08,"6,100",8,-,-,2005,중앙대로100번길 14,-,-,-
114,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,08,"47,800",21,-,-,2008,중앙대로 48,20211201,-,-
115,경상남도 창원시 성산구 중앙동,101-1,0101,0001,경남오피스텔,36.8000,202110,08,"2,500",5,-,-,1990,중앙대로 37,-,-,-
116,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,128.2300,202110,07,"38,000",19,-,-,2008,중앙대로 48,20211101,-,-
117,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202110,07,"5,000",8,-,-,1990,용지로 70,-,-,-
118,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,41.2000,202110,07,"3,700",10,-,-,1990,용지로 70,-,-,-
119,경상남도 창원시 성산구 상남동,19-6,0019,0006,대암빌딩,33.5000,202110,07,"3,100",7,-,-,2003,마디미동로 35,-,-,-
120,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,06,"37,000",5,-,-,2008,중앙대로 48,-,-,-
121,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,61.4475,202110,04,"12,650",4,-,-,2005,중앙대로100번길 14,-,-,-
122,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202110,02,"36,900",19,-,-,2008,중앙대로 48,-,-,-
123,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,17.1775,202110,02,"2,750",15,-,-,2003,중앙대로 75,-,-,-
124,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202110,01,"3,900",12,-,-,2003,용지로 96,-,-,-
125,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,34.2300,202110,01,"6,300",5,-,-,2005,중앙대로100번길 14,-,-,-
126,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202110,01,"38,000",5,-,-,2008,중앙대로 48,-,-,-
127,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202109,29,"45,000",29,-,-,2009, 320,-,-,-
128,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202109,29,"48,000",21,-,-,2009, 320,-,-,-
129,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,222.1200,202109,28,"110,000",37,-,-,2009, 320,-,-,-
130,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202109,27,"4,300",13,-,-,2003,용지로 96,-,-,-
