□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
60,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,54.5000,202311,23,"8,300",6,-,-,2011,합포동3길 8,-,직거래,-
61,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,48.4700,202311,23,"7,500",6,-,-,2011,합포동3길 8,-,직거래,-
62,경상남도 창원시 마산합포구 산호동,337-75,0337,0075,파인하우스,50.8300,202311,23,"7,500",6,-,-,2011,합포동3길 8,-,직거래,-
63,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202311,18,"3,800",12,-,-,1999,해안대로 15,-,중개거래,경남 창원마산합포구
64,경상남도 창원시 마산합포구 창동,3-1,0003,0001,창동 오피스텔,34.3650,202311,18,"2,750",10,-,-,2003,북성로 5,-,중개거래,경남 창원성산구
65,경상남도 창원시 마산합포구 부림동,83-18,0083,0018,강남 와이즈하우스,27.5350,202311,15,"6,500",9,-,-,2015,3·15대로 353,-,직거래,-
66,경상남도 창원시 마산합포구 자산동,302-38,0302,0038,형제샘터마을,29.8200,202311,15,"3,400",4,-,-,2003,자산삼거리로 2-1,-,직거래,-
67,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,24.0980,202311,13,"4,500",4,-,-,2003,3·15대로 47,-,직거래,-
68,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,41.2702,202311,06,"9,500",18,-,-,2018,문화의길 15,-,중개거래,경남 창원마산합포구
69,경상남도 창원시 마산합포구 오동동,28-1,0028,0001,오동동 다:숲,57.6246,202311,04,"12,300",3,-,-,2017,합포로 99,-,중개거래,경남 창원마산회원구
