시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,비고,lng,lat
경상남도 창원성산구 사파동,3*,단독,12m미만,235.3,249.3,201604,7,"        73,500",2011.0,비음로27번길,2. 성산구_단독다가구(매매),128.701586893911,35.2306157997689
경상남도 창원성산구 사파동,1**,단독,12m미만,238.3,249.6,201604,12,"        70,000",2015.0,창이대로648번길,2. 성산구_단독다가구(매매),128.696233474791,35.2245058190285
경상남도 창원성산구 사파동,1**,단독,12m미만,326.86,250.6,201509,8,"        53,000",1995.0,창이대로706번길,2. 성산구_단독다가구(매매),128.699231550587,35.2210661751493
경상남도 창원성산구 사파동,1**,단독,12m미만,244.63,251.7,201606,24,"        70,500",2016.0,창이대로706번길,2. 성산구_단독다가구(매매),128.699231550587,35.2210661751493
경상남도 창원성산구 사파동,1**,단독,12m미만,237.31,252.7,201510,18,"        68,300",2011.0,동산로192번길,2. 성산구_단독다가구(매매),128.696934510193,35.223372084058
경상남도 창원성산구 사파동,1**,단독,12m미만,199.26,253.4,201605,10,"        40,400",1989.0,동산로200번길,2. 성산구_단독다가구(매매),128.697470723402,35.2240594925317
경상남도 창원성산구 사파동,1**,단독,12m미만,236.33,253.6,201606,22,"        42,000",1990.0,동산로200번길,2. 성산구_단독다가구(매매),128.697470723402,35.2240594925317
경상남도 창원성산구 사파동,1**,단독,12m미만,247.54,253.6,201508,7,"        66,800",2014.0,창이대로648번길,2. 성산구_단독다가구(매매),128.696233474791,35.2245058190285
경상남도 창원성산구 사파동,1**,단독,12m미만,222.94,253.8,201602,25,"        47,500",1996.0,동산로200번길,2. 성산구_단독다가구(매매),128.697470723402,35.2240594925317
경상남도 창원성산구 사파동,7*,단독,12m미만,124.12,254.0,201604,28,"        47,900",1996.0,창이대로707번길,2. 성산구_단독다가구(매매),128.702526761772,35.2222895887641
경상남도 창원성산구 사파동,1**,단독,12m미만,252.29,254.2,201602,25,"        68,800",2015.0,창이대로648번길,2. 성산구_단독다가구(매매),128.696233474791,35.2245058190285
경상남도 창원성산구 사파동,1**,단독,8m미만,161.76,254.4,201511,2,"        42,500",1989.0,동산로178번길,2. 성산구_단독다가구(매매),128.69569198323,35.2225246017335
경상남도 창원성산구 사파동,6*,단독,12m미만,228.58,255.0,201604,11,"        46,200",1996.0,창이대로707번길,2. 성산구_단독다가구(매매),128.702526761772,35.2222895887641
경상남도 창원성산구 사파동,1**,단독,12m미만,199.1,256.9,201509,25,"        47,500",1983.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 사파동,7*,단독,12m미만,353.74,257.0,201605,30,"        46,500",1996.0,창이대로707번길,2. 성산구_단독다가구(매매),128.702526761772,35.2222895887641
경상남도 창원성산구 사파동,8*,단독,12m미만,250.52,260.8,201511,30,"        66,500",2011.0,창이대로729번길,2. 성산구_단독다가구(매매),128.703615794486,35.2202936614998
경상남도 창원성산구 사파동,2*,단독,12m미만,328.96,263.5,201507,28,"        56,800",1995.0,비음로4번길,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 사파동,2*,단독,12m미만,246.19,263.8,201603,21,"        55,500",2003.0,비음로14번길,2. 성산구_단독다가구(매매),128.698353203607,35.2285499479924
경상남도 창원성산구 사파동,5*,단독,25m미만,446.12,282.6,201509,3,"        63,000",2002.0,비음로,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 사파동,1**,단독,25m미만,186.57,287.2,201512,21,"        51,500",1989.0,신사로,2. 성산구_단독다가구(매매),128.697766634372,35.2201917351561
경상남도 창원성산구 사파동,4*,단독,12m미만,382.88,294.3,201606,4,"        58,500",1995.0,비음로24번길,2. 성산구_단독다가구(매매),128.700629142133,35.2272121245365
경상남도 창원성산구 사파동,2*,단독,12m미만,254.13,296.8,201510,20,"        65,500",2001.0,비음로24번길,2. 성산구_단독다가구(매매),128.700629142133,35.2272121245365
경상남도 창원성산구 사파동,1**,단독,25m미만,414.19,332.5,201602,10,"        92,000",1994.0,신사로,2. 성산구_단독다가구(매매),128.697766634372,35.2201917351561
경상남도 창원성산구 사파동,1**,단독,25m미만,316.53,338.8,201605,17,"        59,900",1997.0,창이대로690번길,2. 성산구_단독다가구(매매),128.698255701239,35.2222433430574
경상남도 창원성산구 사파동,5*,단독,25m미만,282.69,348.0,201511,5,"        72,000",1996.0,비음로,2. 성산구_단독다가구(매매),128.698063064393,35.2271711035608
경상남도 창원성산구 상남동,9*,다가구,12m미만,230.16,251.7,201509,25,"        54,200",2004.0,동산로73번길,2. 성산구_단독다가구(매매),128.684854008044,35.2176753731208
경상남도 창원성산구 상남동,1**,다가구,25m미만,368.38,251.9,201604,11,"        71,500",2001.0,동산로55번길,2. 성산구_단독다가구(매매),128.684357869243,35.2159970880731
경상남도 창원성산구 상남동,1**,다가구,12m미만,366.76,253.7,201601,25,"        64,500",2001.0,동산로61번길,2. 성산구_단독다가구(매매),128.684794380214,35.2162463282368
경상남도 창원성산구 상남동,8*,다가구,12m미만,240.76,253.9,201509,18,"        64,000",2004.0,단정로58번길,2. 성산구_단독다가구(매매),128.685780585908,35.2178523579583
경상남도 창원성산구 상남동,8*,다가구,12m미만,248.94,255.9,201601,4,"        59,000",2004.0,단정로58번길,2. 성산구_단독다가구(매매),128.685780585908,35.2178523579583
경상남도 창원성산구 상남동,1**,다가구,12m미만,243.88,256.5,201511,2,"        59,000",2001.0,동산로61번길,2. 성산구_단독다가구(매매),128.684794380214,35.2162463282368
경상남도 창원성산구 상남동,8*,다가구,12m미만,199.72,259.7,201604,22,"        61,500",1999.0,동산로73번길,2. 성산구_단독다가구(매매),128.684854008044,35.2176753731208
경상남도 창원성산구 상남동,1**,다가구,12m미만,237.71,261.2,201508,17,"        85,000",2015.0,동산로65번길,2. 성산구_단독다가구(매매),128.684923831686,35.2166596279647
경상남도 창원성산구 상남동,1**,단독,12m미만,349.46,247.8,201507,20,"        57,000",1999.0,동산로61번길,2. 성산구_단독다가구(매매),128.684794380214,35.2162463282368
경상남도 창원성산구 상남동,5*,단독,12m미만,226.47,248.6,201509,30,"        56,700",1998.0,동산로54번길,2. 성산구_단독다가구(매매),128.687946034167,35.2144971295133
경상남도 창원성산구 상남동,5*,단독,25m미만,378.84,268.5,201511,2,"        81,000",2000.0,동산로,2. 성산구_단독다가구(매매),128.696853322064,35.221508874993
경상남도 창원성산구 상남동,5*,단독,25m미만,272.55,289.3,201507,6,"        77,000",2015.0,동산로48번길,2. 성산구_단독다가구(매매),128.690860173568,35.2133531826502
경상남도 창원성산구 상남동,6*,단독,25m미만,52.0,290.1,201604,8,"        52,250",2009.0,토월로,2. 성산구_단독다가구(매매),128.679151241425,35.215255990856
