NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
104,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,22.5975,202405,25,"3,600",10,개인,개인,2003,월영동로 7,-,중개거래,경남 창원시마산합포구
105,경상남도 창원시 마산합포구 동성동,50,0050,0000,리치클Ⅱ,39.8700,202405,25,"5,300",4,개인,개인,1997,아구찜길 7,-,중개거래,경남 창원시마산합포구
106,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,22.5975,202405,25,"3,600",8,개인,개인,2003,월영동로 7,-,중개거래,경남 창원시마산합포구
107,경상남도 창원시 마산합포구 대창동,67,0067,0000,성우유니빌,43.5600,202405,25,"4,800",4,개인,개인,2003,월영북로 61,-,중개거래,경남 창원시마산합포구
108,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",8,공공기관,개인,2024,합포로 159-1,-,직거래,-
109,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",8,공공기관,개인,2024,합포로 159-1,-,직거래,-
110,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",7,공공기관,개인,2024,합포로 159-1,-,직거래,-
111,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",7,공공기관,개인,2024,합포로 159-1,-,직거래,-
112,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",2,공공기관,개인,2024,합포로 159-1,-,직거래,-
113,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",2,공공기관,개인,2024,합포로 159-1,-,직거래,-
114,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"28,729",2,공공기관,개인,2024,합포로 159-1,-,직거래,-
115,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,008",4,공공기관,개인,2024,합포로 159-1,-,직거래,-
116,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"28,729",3,공공기관,개인,2024,합포로 159-1,-,직거래,-
117,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",11,공공기관,개인,2024,합포로 159-1,-,직거래,-
118,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"30,861",11,공공기관,개인,2024,합포로 159-1,-,직거래,-
119,경상남도 창원시 마산합포구 산호동,405-107,0405,0107,베스트명은,76.8029,202405,23,"29,582",10,공공기관,개인,2024,합포로 159-1,-,직거래,-
