NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
103,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,246.08,254.50,202202,19,"57,500",-,-,2010,동산로176번길,-,중개거래,경남 창원성산구
104,경상남도 창원시 성산구 신월동,1*,단독,8m미만,121.17,123.00,202202,15,"50,000",-,-,1988,창이대로584번길,-,중개거래,경남 창원성산구
105,경상남도 창원시 성산구 신월동,6*,단독,12m미만,236.35,253.50,202202,15,"50,000",-,-,1997,상남로192번길,20220408,중개거래,경남 창원마산회원구 경남 창원성산구
106,경상남도 창원시 성산구 신월동,6*,단독,12m미만,236.35,253.50,202202,15,"50,000",-,-,1997,상남로192번길,-,중개거래,경남 창원마산회원구 경남 창원성산구
107,경상남도 창원시 성산구 가음동,4*,단독,12m미만,243.44,257.80,202202,15,"56,000",-,-,2003,가음로92번길,-,중개거래,경남 창원성산구
108,경상남도 창원시 성산구 사파동,1**,다가구,25m미만,316.53,338.80,202202,11,"66,700",-,-,1997,창이대로690번길,-,중개거래,경남 창원성산구
109,경상남도 창원시 성산구 성주동,1**,다가구,12m미만,385.93,265.60,202202,08,"67,000",-,-,2012,삼정자로52번길,-,중개거래,경남 창원성산구
110,경상남도 창원시 성산구 반지동,7*,단독,12m미만,206.40,214.60,202202,05,"59,000",-,-,2015,반지로4번길,-,중개거래,경남 창원성산구
111,경상남도 창원시 성산구 용호동,4*,단독,12m미만,254.97,228.90,202201,28,"39,500",-,-,1993,창이대로440번길,-,중개거래,경남 창원성산구
112,경상남도 창원시 성산구 용호동,1*,단독,12m미만,324.51,246.70,202201,25,"52,000",-,-,1992,용지로245번길,-,중개거래,경남 창원의창구
113,경상남도 창원시 성산구 중앙동,6*,다가구,12m미만,404.71,266.60,202201,19,"40,000",-,-,2001,외동반림로80번길,-,중개거래,경남 창원성산구
114,경상남도 창원시 성산구 가음동,4*,단독,12m미만,232.11,256.00,202201,13,"40,200",-,-,1996,가양로34번길,-,중개거래,경남 창원성산구
115,경상남도 창원시 성산구 용호동,1*,단독,12m미만,223.67,248.00,202201,04,"40,500",-,-,2000,용지로249번길,-,중개거래,경남 창원의창구
116,경상남도 창원시 성산구 신월동,*,다가구,12m미만,285.24,248.10,202201,04,"57,000",-,-,2006,신월로17번길,-,중개거래,경남 창원성산구
117,경상남도 창원시 성산구 상남동,2*,단독,12m미만,96.99,27.57,202201,04,"9,500",-,-,2002,마디미로43번길,-,직거래,-
