시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 진북면 인곡리,5*,단독,8m미만,30.41,316,202006,5,"         8,500",2008,동삼길
경상남도 창원마산합포구 진북면 인곡리,2**,단독,8m미만,119.32,492,201910,17,"        12,000",1998,동삼길
경상남도 창원마산합포구 진북면 지산리,2**,다가구,8m미만,576.54,1030,202004,29,"        43,500",2012,지산2길
경상남도 창원마산합포구 진북면 지산리,2**,단독,8m미만,98.01,229,202003,2,"        13,800",1992,지산1길
경상남도 창원마산합포구 진북면 지산리,2**,단독,12m미만,113.71,284,202003,5,"        17,500",1998,지산1길
경상남도 창원마산합포구 진전면 곡안리,5**,단독,12m미만,45.12,436,201907,30,"         8,500",2011,팔의사로
경상남도 창원마산합포구 진전면 금암리,7**,단독,12m미만,44.61,56,202003,9,"         2,480",1998,의산삼일로
경상남도 창원마산합포구 진전면 금암리,7**,단독,12m미만,44.61,56,202001,14,"         2,180",1998,의산삼일로
경상남도 창원마산합포구 진전면 금암리,2**,단독,8m미만,81.62,218,201907,4,"         3,640",2007,금암길
경상남도 창원마산합포구 진전면 시락리,2**,단독,8m미만,25,309,201907,29,"        12,000",2008,회진로
경상남도 창원마산합포구 진전면 시락리,1**,단독,8m미만,42.97,374,201912,6,"        10,000",1998,웃소포길
경상남도 창원마산합포구 진전면 시락리,2**,단독,8m미만,99.24,426,202001,14,"        37,220",2016,회진로
경상남도 창원마산합포구 진전면 시락리,1**,단독,8m미만,98.34,698,201908,14,"        43,000",2014,회진로
경상남도 창원마산합포구 진전면 시락리,2**,단독,12m미만,329.49,729,202003,21,"        49,000",2016,
경상남도 창원마산합포구 진전면 오서리,1***,단독,8m미만,172.12,2153,201907,31,"        23,000",1996,탑동길
경상남도 창원마산합포구 진전면 이명리,1**,단독,8m미만,176.81,297,201909,17,"        13,000",2001,이명1길
경상남도 창원마산합포구 진전면 이명리,6**,단독,8m미만,15,595,202002,20,"         8,500",1998,이명3길
경상남도 창원마산합포구 진전면 일암리,1***,단독,8m미만,50.44,221,202002,12,"         5,300",1998,적석산길
경상남도 창원마산합포구 진전면 일암리,5**,단독,8m미만,83.25,369,202003,22,"        13,450",2008,적석산길
경상남도 창원마산합포구 창동,1**,단독,8m미만,52.21,19.8,201912,11,"         9,500",1998,동서북14길
경상남도 창원마산합포구 창동,1**,단독,8m미만,37.72,67.1,201912,11,"         5,400",1989,동서북10길
경상남도 창원마산합포구 창포동3가,*,단독,8m미만,14.88,26.4,202006,8,"         3,100",2020,
경상남도 창원마산합포구 청계동,*,단독,12m미만,131.73,196.7,202003,16,"        26,000",1979,문화남7길
경상남도 창원마산합포구 청계동,*,단독,12m미만,163.83,196.7,202004,28,"        27,800",1987,문화남7길
경상남도 창원마산합포구 청계동,*,단독,12m미만,72.02,251.2,202004,17,"        35,000",1983,문화남1길
경상남도 창원마산합포구 청계동,1*,단독,12m미만,748.1,388.5,201911,11,"        76,000",1998,문화남11길
경상남도 창원마산합포구 추산동,6*,단독,8m미만,59.44,30.5,202002,22,"         5,200",1998,성호남1길
경상남도 창원마산합포구 추산동,6*,단독,8m미만,21.82,39.7,202005,19,"         1,830",2020,성호남1길
경상남도 창원마산합포구 추산동,5*,단독,8m미만,96.01,54.7,202006,1,"        11,800",1997,성호남2길
경상남도 창원마산합포구 추산동,3*,단독,8m미만,50.74,69.4,202003,6,"         5,700",2008,성호동4길
경상남도 창원마산합포구 해운동,1*,다가구,8m미만,151.55,155,201912,24,"        34,000",1993,월영남로
경상남도 창원마산합포구 해운동,1*,단독,8m미만,118.26,132.2,202004,29,"        10,800",1992,월영남로
경상남도 창원마산합포구 현동,8**,단독,8m미만,56.8,188,201911,8,"         5,000",1998,묘촌1길
경상남도 창원마산합포구 현동,8**,단독,8m미만,82.48,212,202005,25,"         9,500",1998,묘촌1길
경상남도 창원마산합포구 현동,8**,단독,8m미만,137.25,475,201912,30,"        18,300",,묘촌1길
경상남도 창원마산합포구 화영동,*,단독,8m미만,144,91.6,202003,6,"        13,800",1990,월영북9길
경상남도 창원마산합포구 화영동,*,단독,8m미만,61.27,96.9,201908,19,"         8,000",1998,월영북9길
