시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201601,30,"        60,000",34,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201601,5,"        46,000",23,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201601,13,"        39,000",3,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201601,22,"        48,000",3,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 사림동,105-1,105,1,사림프라자,32.37,201601,30,"         5,150",4,2002.0,사림로 47,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201602,5,"        38,500",28,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,34.96,201602,23,"         4,500",6,1991.0,창이대로113번길 6,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,34.18,201602,25,"         6,200",6,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201602,23,"        43,000",26,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201602,15,"        38,000",19,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201602,26,"        41,500",14,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,35.52,201602,24,"         8,400",10,2004.0,우곡로217번길 24,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201603,18,"        37,000",13,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,117.52,201603,14,"        37,800",23,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201603,23,"        64,500",30,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-2,73,2,라이크빌-1,27.39,201603,15,"         6,000",8,1991.0,용지로169번길 13,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,24.7,201603,8,"         4,800",4,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,36.22,201603,25,"         4,500",9,1991.0,창이대로113번길 6,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201604,1,"        65,000",13,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,156-4,156,4,노블하우스,48.18,201604,8,"        12,000",6,2012.0,읍성로117번길 12,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201604,15,"        41,500",30,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,118.91,201604,14,"        38,500",23,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201604,4,"        53,000",25,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201604,30,"        42,500",21,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,158-17,158,17,	(주)성지 오피스텔	,19.8,201604,29,"         5,000",6,2004.0,의창대로289번길 6-16,,,,,,
경상남도 창원의창구 소답동,106-7,106,7,형제빌딩,41.4,201604,5,"         6,900",3,2001.0,읍성로 57,,,,,,
경상남도 창원의창구 명서동,199-8,199,8,장복빌딩,32.4,201605,23,"         4,450",9,1991.0,창이대로113번길 6,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201605,24,"        39,000",24,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201605,16,"        50,800",7,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 사림동,25,25,0,우영프라자,31.13,201606,23,"         5,870",4,2003.0,용지로293번길 28,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201606,4,"        50,500",24,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201606,6,"        48,000",25,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 사림동,25,25,0,우영프라자,32.75,201606,6,"         5,500",4,2003.0,용지로293번길 28,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201607,5,"        51,000",8,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 용호동,73-49,73,49,창원오피스텔,44.4,201607,12,"         6,500",5,1990.0,용지로153번길 3,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201607,6,"        40,600",21,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201607,7,"        60,000",24,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201607,1,"        50,400",27,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,222.12,201607,1,"        90,000",39,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201607,1,"        61,500",24,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 팔용동,31-2,31,2,한미코보스텔,27.33,201607,2,"         5,600",7,2004.0,창원대로397번길 8-9,,,,,,
경상남도 창원의창구 봉곡동,32-4,32,4,우성빌딩,38.43,201608,29,"         5,500",4,,지귀로24번길 16,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201608,20,"        77,500",11,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,126.06,201608,22,"        38,000",6,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,158-15,158,15,	(158-15)	,51.65,201608,2,"        15,700",4,2013.0,읍성로127번길 9,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,153.74,201608,3,"        49,200",26,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 명서동,202-3,202,3,모비딕빌딩,29.6,201608,2,"         6,950",11,2004.0,우곡로217번길 24,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201608,16,"        58,100",17,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201609,9,"        63,000",14,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 대원동,121,121,0,더시티세븐,178.37,201609,27,"        62,000",23,2009.0,원이대로 320,,,,,,
경상남도 창원의창구 소답동,106-7,106,7,형제빌딩,41.94,201610,20,"         6,000",5,2001.0,읍성로 57,,,,,,
