시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,44.73,201703,9,"         7,200",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201703,11,"        12,200",5,2012.0,경화로21번길 37,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.72,201703,9,"         7,080",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,42.03,201703,9,"         6,800",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.72,201703,9,"         7,080",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.72,201703,9,"         7,080",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,700",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,600",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,600",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,700",10,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,650",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,650",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,44.73,201703,9,"         7,250",9,2013.0,용재로 14,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,32.59,201703,21,"         2,900",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,41.08,201703,9,"         6,600",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.18,201703,9,"         7,000",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,43.18,201703,9,"         7,000",8,2013.0,용재로 14,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,42.03,201703,9,"         6,800",8,2013.0,용재로 14,,,,,,
