시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,동,매수자,매도자,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
경상남도 창원의창구 소답동,110-1,110,1,국도그랜드맨션,84.69,201501,6,"        21,800",14,1997,의안로22번길 2,,,,,,,,,
경상남도 창원의창구 소답동,110-1,110,1,국도그랜드맨션,59.81,201501,23,"        14,000",2,1997,의안로22번길 2,,,,,,,,,
경상남도 창원의창구 소답동,148-3,148,3,국제소답빌라,59.97,201501,5,"        10,500",3,1991,의안로66번길 45,,,,,,,,,
경상남도 창원의창구 소답동,101-4,101,4,소답대림맨션,84.85,201501,23,"        17,000",1,1989,읍성로67번길 27,,,,,,,,,
경상남도 창원의창구 소답동,505-4,505,4,세원,84.7,201501,19,"        16,250",1,1995,의안로70번길 25,,,,,,,,,
경상남도 창원의창구 소답동,115-7,115,7,송백프렌드빌,79.23,201501,11,"        16,750",3,2003,의안로8번길 19,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,60.38,201501,30,"        29,190",5,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,79.8,201501,31,"        39,840",4,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 소답동,149-4,149,4,진보녹원맨션,75.25,201501,2,"        16,000",1,1995,의안로44번길 49-20,,,,,,,,,
경상남도 창원의창구 소답동,126-7,126,7,진보델타,57.3,201501,22,"         8,000",6,1992,읍성로79번길 29,,,,,,,,,
경상남도 창원의창구 소답동,148-1,148,1,팔도맨션,59.85,201501,12,"        13,300",10,1994,읍성로89번길 34,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,79.8,201501,5,"        38,250",2,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,84.78,201501,7,"        41,470",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,74.17,201501,9,"        35,000",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,74.17,201501,10,"        36,750",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,79.8,201501,12,"        37,000",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,60.38,201501,12,"        30,800",3,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,84.78,201501,13,"        41,000",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,60.38,201501,15,"        30,900",2,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,79.8,201501,19,"        39,150",1,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,60.38,201501,21,"        30,200",4,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,93,93,0,은아,60.38,201501,26,"        29,000",2,1988,원이대로 663,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,16,"        24,000",4,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,23,"        23,380",4,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,5,"        23,300",4,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,47.1,201501,6,"        26,900",3,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,9,"        20,500",5,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,12,"        24,000",1,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,12,"        23,300",4,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,14,"        22,300",5,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,51.02,201501,14,"        31,500",3,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,51.02,201501,15,"        30,200",1,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.66,201501,5,"        21,200",9,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.9,201501,7,"        20,600",10,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.9,201501,14,"        18,450",1,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.9,201501,16,"        20,700",10,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.9,201501,20,"        20,700",11,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 팔용동,124-2,124,2,대동중앙,59.9,201501,23,"        20,500",8,1993,반계로 101,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,59.12,201501,25,"        34,700",3,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,39.72,201501,30,"        23,800",4,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 신월동,90,90,0,주공,59.12,201501,31,"        34,700",1,1987,신사로 64,,,,,,,,,
경상남도 창원의창구 용호동,63,63,0,롯데1단지,112.98,201501,5,"        54,000",4,1984,용지로 229,,,,,,,,,
경상남도 창원의창구 용호동,63,63,0,롯데1단지,79.95,201501,9,"        40,500",5,1984,용지로 229,,,,,,,,,
경상남도 창원의창구 용호동,63,63,0,롯데1단지,79.95,201501,10,"        40,800",2,1984,용지로 229,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.48,201501,2,"        21,000",3,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.29,201501,7,"        21,300",1,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,11,"        25,000",1,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.48,201501,12,"        20,300",5,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.29,201501,17,"        21,500",4,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,21,"        25,000",1,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,21,"        23,800",5,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,21,"        23,500",5,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,23,"        26,000",2,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,23,"        25,400",2,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.48,201501,24,"        21,950",1,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,56.43,201501,27,"        24,900",4,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,67-2,67,2,무학,50.48,201501,29,"        22,500",3,1987,외동반림로 200,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,50.99,201501,2,"        21,500",5,1986,외동반림로 216,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,50.99,201501,6,"        21,650",1,1986,외동반림로 216,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,3,"        33,500",4,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,14,"        33,600",5,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,15,"        33,500",3,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,20,"        33,400",4,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,53.66,201501,22,"        33,500",3,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,22,"        32,500",2,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,69,69,0,용지주공1,51.67,201501,29,"        33,900",5,1982,용호로 156,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,50.99,201501,15,"        21,900",3,1986,외동반림로 216,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,50.99,201501,25,"        20,500",5,1986,외동반림로 216,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,59.61,201501,29,"        26,200",3,1986,외동반림로 216,,,,,,,,,
경상남도 창원의창구 용호동,66,66,0,일동,50.99,201501,30,"        22,000",3,1986,외동반림로 216,,,,,,,,,
