NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
37.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202007,2,"40,500",4,-,-,2013,삼정자로 78,-,-,-,-,연립
34.0,경상남도 창원시 성산구 내동,456-17,456,17,내동상가,41.32,32.8,202007,7,"5,250",2,-,-,1976,창원대로 726,-,-,-,-,연립다세대
33.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202008,27,"43,800",1,-,-,2013,삼정자로 78,-,-,-,-,연립
32.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202008,27,"39,500",1,-,-,2013,삼정자로 78,-,-,-,-,연립
31.0,경상남도 창원시 성산구 내동,456-17,456,17,내동상가,41.32,32.8,202008,29,"4,800",2,-,-,1976,창원대로 726,-,-,-,-,연립다세대
30.0,경상남도 창원시 성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.9095,202009,4,"48,800",5,-,-,2015,삼정자로72번길 99,-,-,-,-,연립
28.0,경상남도 창원시 성산구 성주동,143,143,0,루이젠하우스,176.52,238.5895,202009,22,"84,000",4,-,-,2008,창원대로1137번길 18,-,-,-,-,연립
27.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202009,30,"38,000",2,-,-,2013,삼정자로 78,-,-,-,-,연립
29.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202009,16,"39,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
26.0,경상남도 창원시 성산구 내동,456-17,456,17,내동상가,46.94,37.9,202010,11,"6,500",3,-,-,1976,창원대로 726,-,-,-,-,연립다세대
24.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202010,19,"41,900",1,-,-,2013,삼정자로 78,-,-,-,-,연립
19.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202010,31,"45,400",1,-,-,2013,삼정자로 78,-,-,-,-,연립
20.0,경상남도 창원시 성산구 내동,456-17,456,17,내동상가,46.94,37.9,202010,31,"7,250",4,-,-,1976,창원대로 726,-,-,-,-,연립다세대
25.0,경상남도 창원시 성산구 성주동,157,157,0,효성해링턴코트,84.88,109.5309,202010,17,"42,200",4,-,-,2013,삼정자로 78,-,-,-,-,연립다세대
