NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원의창구 도계동,402-1,402,1,태백산빌라,71.61,97.79,201504,8,"        18,400",5,,,1995,원이대로69번길 10-4,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,67.34,44.12,201504,1,"        19,500",4,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,73.79,48.34,201504,1,"        21,400",3,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 도계동,337-2,337,2,신동우빌라,80.82,74.76,201504,13,"        16,000",5,,,1997,도계로18번길 16,,,,,
,경상남도 창원의창구 동읍 용잠리,132-7,132,7,삼우빌라,67.76,50.07,201504,16,"         7,000",3,,,1991,의창대로915번길 21,,,,,
,경상남도 창원의창구 동읍 용정리,159-2,159,2,자미르하우스,60.63,88.03,201504,7,"        15,000",3,,,2012,자여로115번길 5,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,73.79,48.34,201504,1,"        21,400",2,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 동읍 단계리,292-5,292,5,동아바론하우스1,69.3431,76.93,201504,15,"        15,000",4,,,2011,자여로 133-3,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,49.31,32.3,201504,1,"        14,300",1,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 도계동,327-1,327,1,환웅수빌리지,67.34,44.12,201504,1,"        19,500",3,,,2015,도계로 35-8,,,,,
,경상남도 창원의창구 북면 신촌리,1386-16,1386,16,거풍힐링빌1단지,75.915,86.88,201504,21,"        16,130",4,,,2013,천주로 1202-8,,,,,
,경상남도 창원의창구 도계동,351-7,351,7,중원빌라,82.5,40.9,201504,2,"        13,400",4,,,1996,도계로60번길 13-13,,,,,
,경상남도 창원의창구 서상동,313-7,313,7,삼창연립A동,56.3,45.0,201504,6,"        11,500",3,,,1983,의창대로211번길 5,,,,,
,경상남도 창원의창구 소답동,138-22,138,22,성은빌라2차,50.92,29.05,201504,16,"         7,950",1,,,1997,의안로8번길 37,,,,,
,경상남도 창원의창구 서상동,317,317,0,아담연립,48.65,18.5,201504,1,"         9,800",2,,,1980,서상로12번길 55-14,,,,,
,경상남도 창원의창구 소답동,146-7,146,7,신동우3차,71.16,43.71,201504,28,"        15,000",2,,,1994,의안로56번길 45,,,,,
