시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 진동면 요장리,2*,단독,8m미만,99.75,201,201807,24,"        10,000",1960,주도1길
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,128.71,308,201807,28,"        15,500",1960,광암2길
경상남도 창원마산합포구 진동면 요장리,2**,단독,8m미만,163.18,672,201812,28,"        27,000",1995,해양관광로
경상남도 창원마산합포구 진동면 진동리,4**,단독,8m미만,79.17,70,201905,4,"         5,800",,삼진의거대로
경상남도 창원마산합포구 진동면 진동리,3**,단독,8m미만,52.73,147,201902,11,"         7,300",2010,서동촌길
경상남도 창원마산합포구 진동면 진동리,4**,단독,8m미만,73.72,165,201904,20,"        10,000",1981,서촌바다길
경상남도 창원마산합포구 진동면 진동리,3**,단독,8m미만,37.45,173,201904,11,"         7,200",2008,서동촌길
경상남도 창원마산합포구 진동면 진동리,2**,단독,8m미만,109,219,201812,12,"        19,000",1986,진동시장길
경상남도 창원마산합포구 진북면 금산리,6*,단독,8m미만,81.15,221,201903,4,"         4,200",1997,학동로
경상남도 창원마산합포구 진북면 대티리,2*,단독,8m미만,73.1,344,201807,30,"         4,000",1999,귀정길
경상남도 창원마산합포구 진북면 덕곡리,2*,단독,8m미만,31.74,214,201812,7,"         4,000",1960,덕곡덕기길
경상남도 창원마산합포구 진북면 부평리,2**,단독,8m미만,95.99,549,201904,1,"        20,500",2008,부평1길
경상남도 창원마산합포구 진북면 신촌리,2**,단독,8m미만,132.17,370,201811,22,"        25,000",2018,신촌마을길
경상남도 창원마산합포구 진북면 영학리,2**,단독,8m미만,114.19,317,201809,1,"         5,000",1995,학동마을길
경상남도 창원마산합포구 진북면 영학리,2**,단독,8m미만,150.15,400,201808,7,"        26,900",2001,학동마을길
경상남도 창원마산합포구 진북면 예곡리,3**,단독,12m미만,98.03,393,201903,8,"        13,500",2007,동삼길
경상남도 창원마산합포구 진북면 이목리,1**,단독,8m미만,11.9,56,201812,7,"         3,000",1960,학동로
