□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,68.7783,51.83,201810,22,"        22,000",2,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201810,22,"        24,000",1,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.04,201904,12,"        23,830",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.06,201904,12,"        23,830",3,2017,회성남20길 47
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,57.66,51.28,201810,24,"         7,000",2,1983,회성동1길 12
경상남도 창원마산회원구 회성동,470-34,0470,0034,회성,58.41,51.35,201902,25,"         6,000",2,1983,회성동1길 12
경상남도 창원마산회원구 회성동,466-25,0466,0025,회성(466-25),33.6,13.56,201807,25,"         3,200",3,1982,회성남20길 13-1
경상남도 창원마산회원구 회원동,526-20,0526,0020,(526-20),48.54,45.75,201810,11,"         5,770",2,1981,회원남17길 26
경상남도 창원마산회원구 회원동,640-19,0640,0019,78화란주택31동,39.67,60.08,201812,26,"         8,500",1,1980,회원서2길 13-3
경상남도 창원마산회원구 회원동,645-23,0645,0023,78화란주택36동,39.67,49.28,201903,20,"         5,500",2,1980,회원서3길 15
경상남도 창원마산회원구 회원동,640-7,0640,0007,78화란주택5동,39.67,61.05,201901,7,"         5,000",1,1978,회원서2길 25-3
경상남도 창원마산회원구 회원동,669-1,0669,0001,81회원봉화,45.69,40.86,201807,27,"         8,000",1,1982,회원북25길 10
