□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,
,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,,
실거래 구분 : 연립다세대(매매),,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,
,,,,,,,,,,,,
시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 서상동,680-8,0680,0008,힐하우스,70.32,45.32,201811,15,"        18,000",5,2012,평산로171번길 23
경상남도 창원의창구 소계동,721-21,0721,0021,한보,47.07,45.29,201905,17,"         6,900",2,1983,소계로 117
경상남도 창원의창구 소계동,721-21,0721,0021,한보,47.07,45.29,201906,29,"         5,500",3,1983,소계로 117
경상남도 창원의창구 소답동,135-20,0135,0020,가원빌라나동,68.775,37.61,201811,21,"        12,900",3,2003,의안로28번길 32
경상남도 창원의창구 소답동,112-10,0112,0010,궁전빌라,103.23,110.96,201905,13,"        10,000",2,1997,의안로12번길 10
경상남도 창원의창구 소답동,132-8,0132,0008,금강연산홍,69.93,37.29,201811,20,"        11,000",2,1997,의안로44번길 32
경상남도 창원의창구 소답동,154-5,0154,0005,대양,49.68,6.62,201905,29,"         7,400",2,1995,읍성로117번길 21
경상남도 창원의창구 소답동,138-19,0138,0019,대양중앙빌라,48.48,25.18,201809,11,"         8,000",3,2001,의안로12번길 38
경상남도 창원의창구 소답동,113-8,0113,0008,대웅빌라,78.4,34.47,201906,13,"        14,000",4,1995,의안로8번길 6
경상남도 창원의창구 소답동,108-4,0108,0004,덕산세영빌라,99.96,64.14,201807,15,"        17,000",4,2010,의안로32번길 4
경상남도 창원의창구 소답동,131-11,0131,0011,도원빌라,75.57,43.12,201905,4,"        11,800",1,1994,의안로44번길 29
경상남도 창원의창구 소답동,130-19,0130,0019,성은빌라,44.91,21.5,201810,13,"         7,800",2,1995,의안로56번길 36
경상남도 창원의창구 소답동,121-5,0121,0005,송호상가,79.26,34.79,201902,25,"         8,700",5,1991,읍성로 75
경상남도 창원의창구 소답동,111-4,0111,0004,신동우2차,56.88,25.24,201904,4,"         7,000",4,1994,의안로18번길 4
경상남도 창원의창구 소답동,152-18,0152,0018,신흥빌라,69.57,31.2,201807,22,"        10,300",3,1994,의창대로299번길 19
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201811,27,"        25,000",2,2017,천주로36번길 45
경상남도 창원의창구 소답동,451-2,0451,0002,써니원빌,76.78,67.43,201903,28,"        27,500",5,2017,천주로36번길 45
경상남도 창원의창구 소답동,159-1,0159,0001,청담빌라,71.28,33.13,201809,15,"        10,550",4,1994,의창대로299번길 6-8
