□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201802,12,"        11,600",2,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201803,22,"         5,500",4,1984,교방동1길 27
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201707,3,"        30,700",5,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201707,5,"        30,500",1,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201708,14,"        33,000",21,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201708,23,"        29,800",1,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201709,2,"        33,300",18,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201709,13,"        31,200",5,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201709,26,"        38,700",8,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201709,26,"        31,900",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201710,31,"        26,000",19,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201711,12,"        26,000",19,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,128.3853,201711,12,"        42,600",21,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201801,25,"        25,000",1,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201801,31,"        30,250",10,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,128.3853,201802,2,"        38,000",16,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201802,20,"        23,300",21,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201802,25,"        32,500",17,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9268,201803,31,"        25,000",15,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201804,25,"        31,500",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201805,19,"        23,600",11,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201805,22,"        32,100",7,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201805,30,"        28,000",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,128.3853,201806,8,"        39,500",11,2011,노산서18길 19
경상남도 창원마산합포구 구산면 수정리,620,0620,0000,들국화,82.62,201709,8,"         7,000",3,1990,구산로 589
경상남도 창원마산합포구 구산면 수정리,827-3,0827,0003,에포스빌,84.8841,201801,2,"        10,000",5,2004,구산로 605-45
경상남도 창원마산합포구 구산면 수정리,827-3,0827,0003,에포스빌,82.8144,201804,4,"         7,100",5,2004,구산로 605-45
경상남도 창원마산합포구 대내동,1-17,0001,0017,대내경남,174.78,201712,26,"        19,800",14,1989,문화남11길 51
경상남도 창원마산합포구 대내동,1-17,0001,0017,대내경남,174.78,201803,7,"        16,500",11,1989,문화남11길 51
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201707,1,"        13,500",17,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,59.64,201707,21,"        19,500",13,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.63,201708,31,"        14,200",7,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201710,10,"        14,400",10,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201711,8,"        13,500",8,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,59.64,201712,26,"        17,800",4,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201801,22,"        12,000",16,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201802,8,"        13,000",9,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201805,1,"        13,600",14,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201805,15,"        12,700",15,2004,월영북15길 21
경상남도 창원마산합포구 대성동2가,4-5,0004,0005,신안하이빌,53.74,201710,20,"        13,500",2,2006,중앙서1길 37
경상남도 창원마산합포구 대외동,1,0001,0000,배진파크,84.77,201712,7,"        15,300",13,1992,문화남4길 38
경상남도 창원마산합포구 대외동,1,0001,0000,배진파크,84.98,201712,14,"        13,200",2,1992,문화남4길 38
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201709,13,"        20,200",12,2005,수산1길 181
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201712,18,"        20,200",12,2005,수산1길 181
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,134.79,201801,5,"        29,000",11,2005,수산1길 181
경상남도 창원마산합포구 두월동2가,8-5,0008,0005,무학빌라맨션,77.76,201711,15,"        13,100",2,1985,고운로 10
경상남도 창원마산합포구 문화동,13-1,0013,0001,삼부햇살마루,84.9237,201708,20,"        18,500",5,2004,고운로 47
경상남도 창원마산합포구 부림동,105-4,0105,0004,대흥세브르,53.19,201802,20,"        11,800",4,2012,남성로 49
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,84.72,201708,15,"        18,800",13,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.1,201708,24,"        14,500",9,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.1,201709,11,"        13,200",13,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.1,201711,18,"        12,500",7,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,84.72,201711,27,"        16,300",17,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.07,201801,22,"        10,000",1,1996,합포동5길 22
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.1,201805,11,"         9,000",9,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.07,201805,31,"        15,000",7,1996,합포동5길 22
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,67.615,201801,2,"        10,500",11,1985,산호북5길 26
경상남도 창원마산합포구 산호동,209-6,0209,0006,무궁화,59.17,201711,8,"        11,000",4,1982,해안대로 553
경상남도 창원마산합포구 산호동,336-8,0336,0008,무학,81.16,201708,3,"        16,000",11,1979,합포동4길 2
경상남도 창원마산합포구 산호동,336-8,0336,0008,무학,81.16,201804,13,"        11,800",4,1979,합포동4길 2
경상남도 창원마산합포구 산호동,336-8,0336,0008,무학,74.84,201806,26,"        11,000",10,1979,합포동4길 2
경상남도 창원마산합포구 산호동,646,0646,0000,산호경동리인,68.0029,201805,25,"        22,000",12,2018,산호동로 12
