□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,39.74,201709,5,"        10,700",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201709,9,"        14,400",11,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201709,11,"        14,100",14,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201709,13,"        14,000",9,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201710,15,"        14,250",8,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201710,21,"        11,750",15,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201711,1,"        12,900",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201711,2,"        12,200",10,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201712,2,"        11,800",14,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201712,4,"        12,000",10,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201712,17,"        13,000",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201712,25,"        11,500",11,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201712,27,"        11,000",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201712,28,"        11,100",15,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201801,5,"        11,000",11,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201801,9,"        12,000",6,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201801,10,"        13,000",12,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201801,22,"        11,000",2,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201801,27,"        12,000",13,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201801,29,"        13,300",6,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201802,2,"         8,000",12,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201803,6,"        11,000",12,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201803,19,"        14,500",1,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201803,20,"        10,600",15,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201804,3,"        12,500",1,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201804,4,"        12,500",6,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201804,13,"        13,300",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201804,24,"        12,000",13,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,39.74,201804,25,"         9,500",6,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201805,2,"        12,000",13,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,49.62,201805,5,"        11,000",7,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201806,8,"        12,000",8,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.99,201806,16,"        12,000",5,1998,삼계10길 22
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.96,201710,19,"        19,000",11,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201710,25,"        19,500",11,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,59.94,201711,2,"        14,500",6,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201711,18,"        18,800",1,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.96,201711,30,"        20,100",13,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9,201801,9,"        13,500",3,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,59.94,201803,7,"        15,500",3,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.96,201803,7,"        18,000",7,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9,201803,10,"        13,000",11,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,59.9,201803,21,"        13,800",3,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201803,27,"        20,800",10,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201804,4,"        18,500",3,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201804,19,"        17,500",4,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201806,17,"        18,000",1,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,34,0034,0000,대동,84.97,201806,22,"        18,500",12,1998,삼계5길 30
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,76.99,201707,6,"        17,300",15,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,76.99,201707,8,"        19,500",3,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.97,201708,15,"        18,500",4,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.97,201709,25,"        17,400",1,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.97,201711,14,"        18,500",13,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,76.99,201801,13,"        15,000",1,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,37,0037,0000,대동다:숲,84.97,201802,1,"        19,500",3,1999,삼계2길 31
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9274,201707,8,"        18,400",11,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,72.5162,201707,28,"        14,940",3,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,72.5162,201708,12,"        16,500",2,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201709,2,"        20,300",6,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,59.9573,201709,10,"        16,900",7,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201709,13,"        20,000",13,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201710,24,"        19,000",9,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,59.9573,201712,1,"        16,500",12,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201712,7,"        22,200",13,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201712,18,"        20,100",4,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201712,20,"        17,800",1,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,72.5162,201712,28,"        18,000",4,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,59.9573,201803,5,"        13,200",8,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201803,12,"        18,950",6,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201803,12,"        20,000",3,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201803,13,"        20,000",11,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,72.5162,201804,18,"        17,000",5,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,59.9573,201805,21,"        13,100",9,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,72.5162,201805,21,"        15,000",7,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,290,0290,0000,대동이미지1단지,84.9977,201806,13,"        19,200",7,2003,광려로 28
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,84.9274,201707,3,"        19,000",13,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9841,201708,4,"        15,100",16,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,84.9274,201708,22,"        17,000",5,2003,광려로 29
경상남도 창원마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2,59.9841,201709,16,"        15,300",15,2003,광려로 29
