address,lat,lon
산호남10길,35.215868283,128.585294262
산호남8길,35.2151163,128.5807696
산호북15길,35.2190572,128.5830415
합포동7길,35.2125758,128.5863651
산호북16길,35.2194002,128.5824714
산호북13길,35.2179096,128.5829187
합포북13길,35.2127018,128.5822426
합포남8길,35.210343143,128.581665651
산호북2길,35.2168287,128.5859809
합포북5길,35.2116808,128.579778
상남시장로,35.2154779,128.5733267
합포서2길,35.210268516,128.5784287
노산북8길,35.2132391,128.5729452
합포서7길,35.210040606,128.576624503
합포서5길,35.210217,128.5773026
노산동8길,35.214319229,128.575798961
노산남1길,35.2128718,128.5742651
합포서11길,35.211125168,128.578398297
노산북9길,35.213626058,128.573189843
노산동5길,35.2124792,128.574428
노산남4길,35.21158,128.5734996
합포서10길,35.2121931,128.577805
노산남2길,35.212889679,128.571749736
3·15대로,35.2452653,128.5884152
북성로,35.8738074,128.593883
노산북1길,35.2145059,128.5708411
합포서1길,35.209962977,128.579040128
합포서12길,35.211908072,128.578254247
노산북3길,35.2148744,128.5721122
노산동3길,35.2127534,128.5753499
합포서4길,35.210534649,128.577671594
노산남6길,35.2122445,128.5739239
합포서13길,35.2131288,128.5763687
동서북5길,35.204056447,128.573481109
동서남5길,35.201793513,128.567882595
동서북1길,35.203524521,128.572677775
성호동3길,35.210313455,128.570697191
성호서6길,35.2089568,128.5706985
성호서7길,35.208152059,128.569602791
성호북3길,35.211287603,128.57074201
성호서5길,35.208532065,128.57022077
성호서9길,35.208963051,128.569890459
성호서10길,35.2101437,128.569255
성호북1길,35.21118,128.5705016
성호서11길,35.2098424,128.5687277
성호서13길,35.209717524,128.567929131
성호동1길,35.2105293,128.5714466
성호북5길,0.0,0.0
동서북7길,35.2036916,128.5744781
동서북6길,35.204154017,128.574292969
반월북9길,35.191050257,128.559658688
반월서4길,35.1929854,128.5599566
완월남14길,35.1943538,128.55971
문화북3길,35.187627,128.5598626
동서남1길,35.202432,128.5706557
중앙남4길,35.1932778,128.5645985
예곡길,35.1679195,128.5539635
두릉길,35.1768035,128.5347698
오동동1길,35.2056652,128.5798366
오동동2길,35.2050594,128.5806168
오동북6길,35.207367154,128.579076133
오동동4길,35.2047407,128.5800241
오동북17길,35.207666414,128.578044998
오동북10길,35.208525297,128.57896419
오동북5길,35.2079894,128.5799198
오동북15길,35.2086406,128.5779825
완월남6길,35.19628289,128.558168728
완월북7길,35.199681945,128.559754525
완월북14길,35.199941336,128.558745514
완월북13길,35.199241848,128.557609805
완월동19길,35.200613292,128.564243868
완월남로,35.1976667,128.5590985
완월서2길,35.200023575,128.54921008
완월북4길,35.198966782,128.562433125
완월동8길,35.1982109,128.5639854
자산솔밭로,35.1999344,128.5601714
완월남1길,35.196598596,128.561337851
완월북10길,35.1962541,128.5590512
중앙서2길,35.1945785,128.5625251
완월동1길,35.1958924,128.5628283
완월남2길,35.197124937,128.559113804
완월동4길,35.19752787,128.563826634
완월동18길,35.200371637,128.564345823
중앙남8길,35.1950123,128.5636969
장장군로,35.1970834,128.5633444
완월북6길,35.198989167,128.560407707
완월동3길,35.197213058,128.563102197
완월동1길,35.1958563,128.562941
우산길,34.8792609,127.4806523
3·15대로,35.2451946,128.5884747
문화동2길,35.187599099,128.56284886
문화동5길,35.1854663,128.56226
문화동14길,35.1817877,128.5598847
문화동11길,35.1828463,128.5603406
월영북4길,35.181528941,128.556413401
월영북3길,35.181250548,128.557070993
월영북2길,35.181078368,128.556771856
월영남13길,35.177730289,128.56056835
월영남1길,35.179279534,128.557754814
문화서17길,35.187533917,128.552357011
월영남4길,35.177642781,128.557663453
월영서1길,35.17898886,128.55579488
월영서10길,35.173801981,128.555915241
가포로,35.1530455,128.5852369
월영남15길,35.177443738,128.561093196
월영북1길,35.180309544,128.556368413
월영남19길,35.176239296,128.562764971
문화서13길,35.18832159,128.554854728
월영남18길,35.1767869,128.5617804
밤밭고개로,35.1515554,128.5477758
월영남3길,35.179290977,128.556590925
월영북6길,35.181885166,128.555547643
월영남5길,35.1773951,128.5578162
월영서3길,35.1778524,128.5556581
월영서5길,35.177617268,128.555500133
문화남4길,35.1851666,128.5583606
자산남4길,35.202181,128.5654465
자산남10길,35.2015201,128.5645982
자산삼거리로,35.2037952,128.5644003
자산동9길,35.2039346,128.5679589
자산동2길,35.204364732,128.564525239
자산서14길,35.200596094,128.558338359
완월동17길,35.2014999,128.5662454
자산남14길,35.2009227,128.5636695
자산동13길,35.204983034,128.566577133
자산서6길,35.2025734,128.5628392
심온길,35.2016114,128.5627998
자산남11길,35.201984546,128.563296215
자산동3길,35.204624846,128.564861934
자산북4길,35.2066881,128.5646145
자산서5길,35.2039652,128.562054
자산남로,35.201724,128.5649229
자산남13길,35.201311623,128.564243286
자산동15길,35.205878883,128.567044564
자산남2길,35.202295019,128.564343269
자산서11길,35.202852,128.5597639
자산동7길,35.203950327,128.566715653
자산동16길,35.204423738,128.568068429
자산서12길,35.2026944,128.5601393
자산동14길,35.205453281,128.565856205
자산동1길,35.2041166,128.5653823
자산동8길,35.2032046,128.5664958
자산남5길,35.201848,128.5659933
자산남6길,35.202428222,128.566009949
반월북4길,35.191849442,128.561402885
반월북2길,35.1909126,128.561542
중앙남6길,35.1944679,128.5639846
중앙서1길,35.1941334,128.5630626
장군천로,35.1965707,128.5662157
완월동5길,35.1976137,128.5646766
장장군로,35.1970408,128.5637355
완월동16길,35.2011248,128.5666606
완월동15길,35.199716106,128.566439602
북성로,35.8740599,128.5901731
오동서9길,35.208242,128.5749088
오동서18길,35.209842125,128.573424601
오동서17길,35.209900544,128.574193651
오동서10길,35.208266222,128.576028771
오동서12길,35.209113397,128.575586302
오동서11길,35.2087278,128.5753403
오동서1길,35.20689095,128.57631734
오동서19길,35.210326231,128.573088012
반월동6길,35.1891126,128.5627646
반월북1길,35.190752,128.5626067
중앙북4길,35.1997591,128.5677689
미더덕로,35.1055433,128.4553189
고현장터길,35.101302021,128.478596682
신성산로,35.1173393,128.491504
교동1길,36.9740811,127.9358383
교동2길,35.8726583,128.5977076
삼진의거대로,35.1104978,128.4584116
교동3길,35.8725306,128.5986143
다구1길,35.10569083,128.52002381
사동길,35.251377,129.163915
신기남산길,35.1123267,128.4750843
죽전안담길,35.106084861,128.477621395
진동신기길,35.11198563,128.48180714
광암3길,35.105255757,128.498375317
광암2길,36.9393446,126.3918063
요장1길,35.111110368,128.489579644
주도해안길,35.098994275,128.507313412
광암1길,35.107280349,128.496369504
요장해안길,35.107689426,128.492809396
입곡길,35.137677314,128.511042521
신서촌4길,35.1169212,128.4867907
신서촌3길,35.1162214,128.4853665
신서촌1길,35.1166262,128.4858333
신서촌2길,35.1183469,128.4872719
진동사동로,35.1178567,128.4870906
성산길,35.08019,129.0172169
성산안길,35.114921602,128.489262045
진동시장길,35.1142307,128.48794
서촌길,37.3521361,127.6019557
오산2길,37.2354474,127.5638467
대평안길,37.131371456,126.843161836
덕곡안길,35.439241751,128.549161633
진북산업로,35.1201438,128.4894152
덕곡천길,36.4113887,129.3715575
부산1길,35.1387519,128.4640579
부평2길,35.1012798,129.0264866
신촌마을길,35.201539,126.8704407
학동로,37.517943,127.0457789
진북예곡3길,35.116534997,128.454438678
의림로,35.1192023,128.4515692
진북예곡1길,35.111207481,128.4580098
대현길,37.0605578,129.0048906
지산3길,35.115665183,128.467157359
지산1길,37.207227138,127.112463295
지산2길,37.205643749,127.113050583
지산5길,35.115502883,128.467432811
외추길,35.157394647,128.479757335
거락1길,35.141960299,128.37282611
곡안1길,35.109984243,128.414155237
금암중촌길,35.139285044,128.383690718
금암길,35.3960122,127.3726638
봉곡길,36.0455325,126.9210394
도산길,35.699440513,128.020531515
진전봉암길,35.132678099,128.368085871
회진로,35.0881158,128.462295
시락본동길,35.076485528,128.435237858
의산삼일로,35.1665858,128.3712351
적석산길,35.1202658,128.372369
대정5길,35.131895527,128.374655457
