□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
69,경상남도 창원시 진해구 부흥동,1-1,0001,0001,데시앙,84.9554,202212,07,"23,000",-,12,-,-,2007,중원동로 38,-,중개거래,경남 창원진해구,-,아파트
70,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202212,07,"19,380",-,8,-,-,2009,월남로 142,-,중개거래,경남 창원진해구,-,아파트
71,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,59.8404,202212,05,"13,000",-,14,-,-,2003,안청북로 15,-,중개거래,경남 창원진해구,-,아파트
72,경상남도 창원시 진해구 마천동,99-3,0099,0003,남명플럼빌리지,59.8761,202212,05,"10,000",-,11,-,-,2004,웅동로 70,-,중개거래,경남 창원진해구,-,아파트
73,경상남도 창원시 진해구 청안동,474,0474,0000,부영2차,59.8404,202212,05,"13,000",-,9,-,-,2002,안청북로 12,-,직거래,-,-,아파트
74,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9780,202212,03,"18,800",-,21,-,-,2017,웅천동로 16,-,중개거래,경남 창원진해구,-,아파트
75,경상남도 창원시 진해구 용원동,1209,1209,0000,코아루,84.7156,202212,03,"19,000",-,1,-,-,2005,안골로 339,-,중개거래,경남 창원진해구,-,아파트
76,경상남도 창원시 진해구 안골동,375,0375,0000,창원마린2차푸르지오,74.9592,202212,03,"28,300",-,13,-,-,2016,안골로298번길 26,-,중개거래,경남 창원진해구,-,아파트
77,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,49.8420,202212,03,"9,000",-,3,-,-,2003,안청북로 15,-,중개거래,경남 창원진해구,-,아파트
78,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9982,202212,02,"21,500",-,17,-,-,2017,웅천동로 16,-,중개거래,경남 창원진해구,-,아파트
79,경상남도 창원시 진해구 청안동,472,0472,0000,풍림,59.9600,202212,01,"12,000",-,7,-,-,1999,안청북로 39,-,직거래,-,-,아파트
80,경상남도 창원시 진해구 자은동,831,0831,0000,삼성아파트2단지,59.9200,202212,01,"11,400",-,9,-,-,1993,자은로64번길 39,-,중개거래,경남 창원진해구,-,아파트
81,경상남도 창원시 진해구 창선동,7-1,0007,0001,창선경인아네트,84.9797,202211,30,"22,000",-,7,-,-,2016,편백로20번길 6,-,중개거래,경남 창원진해구,-,아파트
82,경상남도 창원시 진해구 남양동,20-2,0020,0002,창원진해비전시티우방아이유쉘아파트,76.5916,202211,30,"25,000",-,9,-,-,2021,월남로 144,-,직거래,-,-,아파트
83,경상남도 창원시 진해구 용원동,1338-2,1338,0002,부산신항만이지더원1단지,59.9276,202211,30,"19,800",-,8,-,-,2014,신항동로 143,-,중개거래,경남 창원진해구,-,아파트
84,경상남도 창원시 진해구 자은동,121,0121,0000,자은프라임,84.9100,202211,29,"31,000",-,13,-,-,2015,냉천로 257,20221208,중개거래,경남 창원진해구,-,아파트
85,경상남도 창원시 진해구 자은동,121,0121,0000,자은프라임,84.9100,202211,29,"31,100",-,13,-,-,2015,냉천로 257,-,중개거래,경남 창원진해구,-,아파트
86,경상남도 창원시 진해구 남양동,20-2,0020,0002,창원진해비전시티우방아이유쉘아파트,76.5916,202211,28,"23,400",-,7,-,-,2021,월남로 144,-,중개거래,경남 창원진해구,-,아파트
87,경상남도 창원시 진해구 안골동,375,0375,0000,창원마린2차푸르지오,84.9925,202211,28,"37,000",-,21,-,-,2016,안골로298번길 26,-,직거래,-,-,아파트
88,경상남도 창원시 진해구 청안동,477,0477,0000,부영1차,84.9538,202211,28,"19,500",-,10,-,-,2002,안청남로 13,-,중개거래,경남 창원진해구,-,아파트
89,경상남도 창원시 진해구 청안동,477,0477,0000,부영1차,84.9538,202211,27,"16,000",-,2,-,-,2002,안청남로 13,-,중개거래,경남 창원진해구,-,아파트
90,경상남도 창원시 진해구 남문동,1274-1,1274,0001,시티프라디움1차아파트,59.9780,202211,27,"24,250",-,25,-,-,2017,웅천동로 16,-,중개거래,경남 창원진해구,-,아파트
91,경상남도 창원시 진해구 용원동,1209,1209,0000,코아루,84.7156,202211,27,"22,300",-,5,-,-,2005,안골로 339,-,중개거래,경남 창원진해구,-,아파트
92,경상남도 창원시 진해구 속천동,1-3,0001,0003,수창블루안,59.8200,202211,26,"12,650",-,9,-,-,2004,속천로 58,-,중개거래,경남 창원진해구,-,아파트
93,경상남도 창원시 진해구 자은동,284-1,0284,0001,월드메르디앙,84.9177,202211,26,"27,200",-,5,-,-,2008,자은로64번가길 26,-,중개거래,경남 창원진해구,-,아파트
94,경상남도 창원시 진해구 용원동,1338-2,1338,0002,부산신항만이지더원1단지,84.8926,202211,26,"26,200",-,6,-,-,2014,신항동로 143,-,중개거래,경남 창원진해구,-,아파트
95,경상남도 창원시 진해구 자은동,663,0663,0000,협성DS.이아이존빌,59.9315,202211,25,"26,500",-,12,-,-,2014,풍호로35번길 11,-,중개거래,경남 창원진해구,-,아파트
96,경상남도 창원시 진해구 용원동,1206,1206,0000,진해녹산현대,84.9700,202211,25,"15,850",-,13,-,-,1998,안청북로 42,-,직거래,-,-,아파트
97,경상남도 창원시 진해구 자은동,121,0121,0000,자은프라임,59.9000,202211,24,"26,500",-,2,-,-,2015,냉천로 257,-,직거래,-,-,아파트
98,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202211,24,"18,700",-,1,-,-,2009,월남로 142,-,직거래,-,-,아파트
99,경상남도 창원시 진해구 두동,1296-1,1296,0001,청안해오름,84.9170,202211,23,"10,000",-,15,-,-,2004,웅동로 150,-,중개거래,경남 창원진해구,-,아파트
100,경상남도 창원시 진해구 청안동,477,0477,0000,부영1차,84.9538,202211,23,"18,500",-,5,-,-,2002,안청남로 13,-,중개거래,경남 창원진해구,-,아파트
101,경상남도 창원시 진해구 용원동,1206,1206,0000,진해녹산현대,84.9700,202211,22,"17,000",-,12,-,-,2000,안청북로 42,-,중개거래,경남 창원진해구,-,아파트
102,경상남도 창원시 진해구 남양동,20-2,0020,0002,창원진해비전시티우방아이유쉘아파트,76.5916,202211,22,"23,500",-,6,-,-,2021,월남로 144,-,중개거래,경남 창원성산구,-,아파트
103,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,47.3100,202211,21,"14,750",-,1,-,-,1991,냉천로 52,-,중개거래,경남 창원진해구,-,아파트
104,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,84.9908,202211,21,"31,000",-,19,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
105,경상남도 창원시 진해구 마천동,99-3,0099,0003,남명플럼빌리지,59.8761,202211,19,"10,000",-,3,-,-,2004,웅동로 70,-,중개거래,경남 창원진해구,-,아파트
106,경상남도 창원시 진해구 석동,607,0607,0000,한림,59.7200,202211,19,"8,900",-,5,-,-,1995,진해대로728번길 8-36,-,중개거래,경남 창원진해구,-,아파트
107,경상남도 창원시 진해구 자은동,388-18,0388,0018,케이제이,94.9300,202211,19,"15,000",-,5,-,-,2002,진해대로901번길 29,-,중개거래,경남 창원진해구,-,아파트
108,경상남도 창원시 진해구 청안동,477,0477,0000,부영1차,84.9538,202211,19,"15,800",-,1,-,-,2002,안청남로 13,-,중개거래,경남 창원진해구,-,아파트
109,경상남도 창원시 진해구 풍호동,83-101,0083,0101,디에스아이존빌,76.2167,202211,17,"21,500",-,6,-,-,2002,풍호로42번길 15,-,중개거래,경남 창원진해구,-,아파트
110,경상남도 창원시 진해구 풍호동,83-3,0083,0003,우성,84.7700,202211,17,"16,000",-,10,-,-,1994,충장로 575,-,중개거래,경남 창원진해구,-,아파트
111,경상남도 창원시 진해구 남문동,1293-1,1293,0001,남문호반베르디움,84.9908,202211,16,"28,500",-,1,-,-,2018,웅천동로43번길 19,-,중개거래,경남 창원진해구,-,아파트
112,경상남도 창원시 진해구 남양동,20,0020,0000,STX칸,84.9859,202211,16,"19,380",-,12,-,-,2009,월남로 142,-,직거래,-,-,아파트
113,경상남도 창원시 진해구 소사동,9-15,0009,0015,동화맨션A동,49.2000,202211,16,"3,700",-,1,-,-,1996,소사천로 4,-,직거래,-,-,아파트
