□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
57,경상남도 창원시 마산회원구 양덕동,79-9,0079,0009,마산양덕4차한일타운,83.6830,202212,05,"33,000",-,1,-,-,2004,양덕서로 45,-,중개거래,경남 창원마산회원구,-,아파트
58,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,84.9933,202212,03,"45,000",-,9,-,-,2009,양덕서로 30,-,중개거래,경남 창원마산회원구,-,아파트
59,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,74.2950,202212,03,"10,000",-,14,-,-,1992,호원로 186-1,-,중개거래,경남 창원마산회원구,-,아파트
60,경상남도 창원시 마산회원구 내서읍 중리,338-1,0338,0001,현대,74.2950,202212,03,"10,000",-,15,-,-,1992,호원로 186-1,-,중개거래,경남 창원마산회원구,-,아파트
61,경상남도 창원시 마산회원구 회원동,313,0313,0000,e-편한세상창원파크센트럴,84.9798,202212,03,"45,000",-,11,-,-,2020,회원남로 65,-,중개거래,경남 창원마산회원구,-,아파트
62,경상남도 창원시 마산회원구 내서읍 호계리,350,0350,0000,세한그린파크,84.9900,202212,03,"10,300",-,9,-,-,1996,광려천북로 74,-,중개거래,경남 창원마산회원구,-,아파트
63,경상남도 창원시 마산회원구 내서읍 원계리,647,0647,0000,대동다:숲,84.9811,202212,03,"21,500",-,1,-,-,2006,광려천남로 267,-,중개거래,경남 창원마산회원구,-,아파트
64,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,84.9409,202212,02,"48,000",-,15,-,-,2019,석전남8길 40,-,중개거래,경남 창원마산회원구,-,아파트
65,경상남도 창원시 마산회원구 내서읍 호계리,333-1,0333,0001,보라맨션,58.7400,202212,02,"6,500",-,8,-,-,1992,광려천북로 90,-,직거래,-,-,아파트
66,경상남도 창원시 마산회원구 내서읍 중리,1038,1038,0000,동신1,93.2850,202212,02,"15,750",-,11,-,-,1994,중리상곡로 114,-,직거래,-,-,아파트
67,경상남도 창원시 마산회원구 내서읍 삼계리,7,0007,0000,THE-푸른,59.9900,202212,01,"13,000",-,13,-,-,1998,삼계10길 22,-,직거래,-,-,아파트
68,경상남도 창원시 마산회원구 내서읍 상곡리,192,0192,0000,중리근로복지,41.8500,202212,01,"5,000",-,1,-,-,1993,상곡로 67,-,중개거래,경남 창원마산회원구,-,아파트
69,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,38.8280,202212,01,"25,000",-,25,-,-,2019,석전남8길 40,-,중개거래,경남 창원마산회원구,-,아파트
70,경상남도 창원시 마산회원구 회원동,648-1,0648,0001,회원주공,59.8500,202211,30,"9,000",-,1,-,-,2002,회원서11길 21,-,직거래,-,-,아파트
71,경상남도 창원시 마산회원구 양덕동,64-1,0064,0001,한일타운2,59.9880,202211,30,"17,000",-,18,-,-,1996,양덕로 151,-,직거래,-,-,아파트
72,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,72.1787,202211,29,"40,000",-,11,-,-,2019,석전남8길 40,-,중개거래,경남 창원마산회원구,-,아파트
73,경상남도 창원시 마산회원구 구암동,28-5,0028,0005,경남(28-5),42.8100,202211,29,"7,050",-,3,-,-,1980,구암남3길 33,-,중개거래,경남 창원마산회원구,-,아파트
74,경상남도 창원시 마산회원구 양덕동,74-1,0074,0001,한일타운,59.9400,202211,28,"16,000",-,6,-,-,1994,양덕서8길 25,-,중개거래,경남 창원마산회원구,-,아파트
75,경상남도 창원시 마산회원구 내서읍 상곡리,67,0067,0000,삼계서진,39.9000,202211,28,"5,700",-,5,-,-,1997,경남대로 1019,-,중개거래,경남 창원마산회원구,-,아파트
76,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9590,202211,27,"22,300",-,22,-,-,2001,호원로 361-3,-,중개거래,경남 창원마산회원구,-,아파트
77,경상남도 창원시 마산회원구 석전동,300,0300,0000,창원메트로시티석전,84.9409,202211,26,"43,500",-,3,-,-,2019,석전남8길 40,-,중개거래,경남 창원마산회원구,-,아파트
78,경상남도 창원시 마산회원구 양덕동,153-5,0153,0005,비젼,68.4700,202211,26,"15,000",-,15,-,-,2005,해안대로 607,-,중개거래,경남 창원마산회원구,-,아파트
79,경상남도 창원시 마산회원구 합성동,358,0358,0000,롯데캐슬더퍼스트,84.9948,202211,26,"42,500",-,4,-,-,2018,합성북16길 197,-,중개거래,경남 창원마산회원구,-,아파트
80,경상남도 창원시 마산회원구 석전동,223-2,0223,0002,석전동다움,69.6003,202211,25,"22,700",-,23,-,-,2017,석전동15길 40,-,중개거래,경남 창원마산회원구,-,아파트
81,경상남도 창원시 마산회원구 내서읍 호계리,53-1,0053,0001,화인태양,84.2700,202211,25,"10,500",-,13,-,-,1991,광려천북로 206,-,중개거래,경남 창원마산회원구,-,아파트
82,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,74.1880,202211,25,"26,500",-,16,-,-,2005,호원로 359,-,중개거래,경남 창원마산회원구,-,아파트
83,경상남도 창원시 마산회원구 양덕동,153-5,0153,0005,비젼,68.4700,202211,25,"14,300",-,19,-,-,2005,해안대로 607,-,직거래,-,-,아파트
84,경상남도 창원시 마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2단지,72.5162,202211,24,"17,400",-,12,-,-,2003,광려로 29,-,중개거래,경남 창원마산회원구,-,아파트
