□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 아파트(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
80,경상남도 창원시 진해구 경화동,890,0890,0000,부건2차IDEA,62.6433,202012,24,"15,500",-,8,-,-,2018,진해대로694번길 23,20210720,-,-,-,아파트
81,경상남도 창원시 진해구 풍호동,325,0325,0000,신광,48.1500,202012,24,"5,500",-,2,-,-,1990,천자로385번길 9,-,-,-,-,아파트
82,경상남도 창원시 진해구 풍호동,305-8,0305,0008,창원마린푸르지오1단지,77.7755,202012,24,"33,500",-,2,-,-,2015,천자로 386,-,-,-,-,아파트
83,경상남도 창원시 진해구 용원동,1209,1209,0000,코아루,84.7156,202012,23,"20,300",-,3,-,-,2005,안골로 339,-,-,-,-,아파트
84,경상남도 창원시 진해구 장천동,119-12,0119,0012,진해장천대동다:숲,84.9546,202012,23,"27,400",-,1,-,-,2007,행암로 25,-,-,-,-,아파트
85,경상남도 창원시 진해구 용원동,1208,1208,0000,일신님,84.9886,202012,23,"22,800",-,10,-,-,2005,안골로 359,-,-,-,-,아파트
86,경상남도 창원시 진해구 풍호동,75-1,0075,0001,풍호시영,49.7900,202012,23,"14,000",-,1,-,-,1991,진해대로1041번길 35,-,-,-,-,아파트
87,경상남도 창원시 진해구 풍호동,744,0744,0000,풍호주공,39.6900,202012,23,"7,500",-,5,-,-,1990,동진로 166,-,-,-,-,아파트
88,경상남도 창원시 진해구 자은동,911,0911,0000,성원,39.7500,202012,23,"10,650",-,1,-,-,1995,냉천로108번길 6,-,-,-,-,아파트
89,경상남도 창원시 진해구 자은동,661-1,0661,0001,원창베스트빌,53.5686,202012,23,"7,200",-,1,-,-,2003,풍호로35번길 19,-,-,-,-,아파트
90,경상남도 창원시 진해구 용원동,1338-3,1338,0003,부산신항만이지더원2단지,59.9276,202012,23,"16,400",-,26,-,-,2014,신항북로 202,-,-,-,-,아파트
91,경상남도 창원시 진해구 대죽동,42-1,0042,0001,위드필오션베이,79.7201,202012,22,"16,300",-,4,-,-,2017,태평로 162,-,-,-,-,아파트
92,경상남도 창원시 진해구 풍호동,75-1,0075,0001,풍호시영,49.7900,202012,22,"13,300",-,2,-,-,1991,진해대로1041번길 35,-,-,-,-,아파트
93,경상남도 창원시 진해구 장천동,132,0132,0000,벽산이솔렌스힐,120.7191,202012,22,"26,500",-,2,-,-,2008,진해대로1099번길 10,-,-,-,-,아파트
94,경상남도 창원시 진해구 장천동,132,0132,0000,벽산이솔렌스힐,84.9483,202012,22,"20,500",-,1,-,-,2008,진해대로1099번길 10,-,-,-,-,아파트
95,경상남도 창원시 진해구 남문동,1256-2,1256,0002,진해남문하우스디,84.9223,202012,22,"26,480",-,4,-,-,2019,웅천동로106번길 20,20210118,-,-,-,아파트
96,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,42.4800,202012,22,"11,000",-,4,-,-,1991,냉천로 52,-,-,-,-,아파트
97,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,47.3100,202012,22,"15,000",-,1,-,-,1991,냉천로 52,-,-,-,-,아파트
98,경상남도 창원시 진해구 경화동,900,0900,0000,보람더좋은큐브,46.3200,202012,22,"10,500",-,5,-,-,2013,진해대로694번길 24,-,-,-,-,아파트
99,경상남도 창원시 진해구 경화동,1400,1400,0000,경화동더샵,84.9300,202012,22,"19,500",-,11,-,-,2005,조천북로 65,-,-,-,-,아파트
100,경상남도 창원시 진해구 경화동,859,0859,0000,경화주공,39.7200,202012,22,"7,000",-,4,-,-,1986,충장로345번길 50,-,-,-,-,아파트
101,경상남도 창원시 진해구 자은동,525-3,0525,0003,자은동더샵,84.4192,202012,21,"21,800",-,14,-,-,2005,진해대로975번길 26,-,-,-,-,아파트
102,경상남도 창원시 진해구 자은동,525-3,0525,0003,자은동더샵,123.2238,202012,21,"26,100",-,5,-,-,2005,진해대로975번길 26,-,-,-,-,아파트
103,경상남도 창원시 진해구 이동,398-2,0398,0002,뉴중앙하이츠,35.5833,202012,21,"7,800",-,2,-,-,2013,천자로 13,-,-,-,-,아파트
104,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,42.4800,202012,21,"13,700",-,4,-,-,1991,냉천로 52,-,-,-,-,아파트
105,경상남도 창원시 진해구 청안동,473,0473,0000,부영3차,59.8404,202012,21,"11,500",-,15,-,-,2003,안청북로 15,-,-,-,-,아파트
106,경상남도 창원시 진해구 경화동,859,0859,0000,경화주공,31.9800,202012,21,"5,800",-,4,-,-,1986,충장로345번길 50,-,-,-,-,아파트
107,경상남도 창원시 진해구 석동,90-1,0090,0001,석동주공,42.4800,202012,21,"13,700",-,4,-,-,1991,냉천로 52,20201230,-,-,-,아파트
108,경상남도 창원시 진해구 석동,232,0232,0000,진해자이,155.7312,202012,21,"39,500",-,14,-,-,2006,동진로21번길 26,-,-,-,-,아파트
109,경상남도 창원시 진해구 속천동,7,0007,0000,진해유진에코블루스카이,59.9717,202012,21,"18,700",-,8,-,-,2015,속천로 45,-,-,-,-,아파트
110,경상남도 창원시 진해구 풍호동,744,0744,0000,풍호주공,39.3000,202012,21,"8,800",-,5,-,-,1990,동진로 166,-,-,-,-,아파트
