□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.36,201712,8,"         3,800",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201801,22,"         3,000",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,27.84,201801,22,"         4,150",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201801,29,"         4,190",15,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201802,27,"         3,470",8,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201803,2,"         3,600",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,29.04,201803,7,"         4,400",14,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201803,13,"         4,000",12,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201804,20,"         3,000",13,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,27.39,201804,28,"         3,400",6,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201804,28,"         3,500",12,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,42.83,201806,2,"         4,000",7,1999,해안대로 15
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201806,21,"         3,700",9,1999,해안대로 15
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201707,21,"         4,300",6,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,26.04,201709,10,"         4,700",4,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201709,12,"         4,000",8,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201709,16,"         4,400",9,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201709,16,"         4,500",11,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201709,16,"         4,500",11,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201711,11,"         4,400",7,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201801,19,"         6,700",10,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,34.39,201802,8,"         4,900",3,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201802,27,"         4,200",9,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201803,7,"         4,100",10,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201805,16,"         3,100",3,2003,월영동로 7
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,26.04,201806,14,"         4,400",5,2003,월영동로 7
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,28,201712,29,"         3,850",6,1999,월영동13길 9
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,26.4,201801,7,"         3,900",9,1999,월영동13길 9
경상남도 창원마산합포구 해운동,65-2,65,2,한백마이존,28,201801,26,"         3,800",12,1999,월영동13길 9
경상남도 창원마산합포구 해운동,66-9,66,9,휴네콤프라자,39,201805,3,"         5,200",10,2004,해안대로 41
