NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1342,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,74.1880,202403,09,"26,200",205,8,개인,개인,2005,호원로 359,-,중개거래,경남 창원시 마산회원구,24.08.21,아파트
1343,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,84.9670,202403,09,"18,500",120,4,개인,법인,2001,호원로 361-3,-,중개거래,경남 창원시마산회원구,24.03.11,아파트
1344,경상남도 창원시 마산회원구 구암동,1212,1212,0000,신우,59.1516,202403,09,"12,000",-,3,개인,개인,2001,구암남21길 3,-,중개거래,경남 창원시마산회원구,24.05.07,아파트
1345,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,74.9440,202403,09,"52,000",201,2,개인,개인,2015,삼호로 80,-,중개거래,"경남 창원시마산합포구, 경남 창원시마산회원구",24.05.27,아파트
1346,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,74.9350,202403,09,"51,300",202,25,개인,개인,2015,삼호로 80,-,중개거래,경남 창원시마산회원구,24.03.14,아파트
1347,경상남도 창원시 마산회원구 양덕동,535,0535,0000,양덕코오롱하늘채,84.9783,202403,09,"47,300",104동,20,개인,개인,2016,양덕서5길 15,-,중개거래,경남 창원시마산회원구,24.05.10,아파트
1348,경상남도 창원시 마산회원구 양덕동,888-1,0888,0001,우성,59.9700,202403,08,"21,000",제103,14,개인,개인,1998,양덕옛2길 16,-,중개거래,경남 창원시마산회원구,24.03.22,아파트
1349,경상남도 창원시 마산회원구 내서읍 호계리,80,0080,0000,코오롱하늘채2차,103.9320,202403,08,"29,800",207,1,개인,개인,2005,호원로 359,-,중개거래,경남 창원시마산회원구,24.05.17,아파트
1350,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,124.4478,202403,08,"58,000",102,2,개인,개인,2009,양덕서로 30,-,중개거래,경남 창원시마산회원구,24.05.14,아파트
1351,경상남도 창원시 마산회원구 양덕동,84-1,0084,0001,메트로시티,124.4478,202403,08,"63,500",111,20,개인,개인,2009,양덕서로 30,-,중개거래,"경남 창원시마산합포구, 경남 창원시마산회원구",24.04.29,아파트
