NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
79,경상남도 창원시 성산구 대방동,367,0367,0000,대동황토방,59.2107,202412,13,"28,000",-,10,개인,개인,2001,창이대로881번길 19,-,중개거래,경남 창원시 성산구,-,아파트
80,경상남도 창원시 성산구 대방동,358,0358,0000,대동,59.9900,202412,13,"18,000",106,5,개인,개인,1992,대정로 142,-,중개거래,경남 창원시 성산구,24.12.13,아파트
81,경상남도 창원시 성산구 남산동,601-26,0601,0026,남산효성해링턴플레이스,79.3703,202412,13,"31,300",-,7,개인,개인,2018,정동로162번길 78,-,중개거래,경남 창원시 성산구,-,아파트
82,경상남도 창원시 성산구 반지동,24,0024,0000,까치2차,54.0900,202412,12,"15,500",204,1,개인,개인,1991,창원천로 256,-,중개거래,경남 창원시 성산구,24.12.17,아파트
83,경상남도 창원시 성산구 용호동,70,0070,0000,용지아이파크,127.3672,202412,12,"165,000",-,9,개인,개인,2017,원이대로579번길 13,-,중개거래,경남 창원시 성산구,-,아파트
84,경상남도 창원시 성산구 대원동,40,0040,0000,포레나대원,59.2572,202412,12,"49,000",-,16,개인,개인,2018,창원천로 34,-,중개거래,경남 창원시 성산구,-,아파트
85,경상남도 창원시 성산구 내동,452-14,0452,0014,월드메르디앙웨스턴애비뉴,59.9294,202412,12,"21,500",108,7,개인,개인,2009,삼동로128번길 24,-,중개거래,경남 창원시 성산구,24.12.16,아파트
86,경상남도 창원시 성산구 반림동,4-1,0004,0001,현대2차,44.2400,202412,12,"20,500",213,11,개인,개인,1989,반송로 177,-,중개거래,경남 창원시 성산구,24.12.20,아파트
87,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,108.5000,202412,12,"40,000",-,23,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
88,경상남도 창원시 성산구 대방동,358,0358,0000,대동,84.9800,202412,12,"29,500",-,6,개인,개인,1992,대정로 142,-,중개거래,경남 창원시 성산구,-,아파트
89,경상남도 창원시 성산구 대방동,376,0376,0000,대방그린빌,39.7150,202412,11,"11,450",2,8,개인,개인,1996,대암로 256,-,중개거래,경남 창원시 성산구,24.12.27,아파트
90,경상남도 창원시 성산구 반지동,23,0023,0000,대동그린파크,84.8500,202412,11,"28,000",-,7,개인,개인,1991,창원천로 292,-,중개거래,경남 창원시 성산구,-,아파트
91,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,75.9800,202412,11,"54,000",210,17,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,24.12.20,아파트
92,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,164.7000,202412,11,"45,500",-,2,개인,개인,1995,동산로 115,-,중개거래,경남 창원시 성산구,-,아파트
93,경상남도 창원시 성산구 상남동,63,0063,0000,대우,35.4900,202412,11,"25,000",12,3,개인,개인,1989,상남로 48,-,중개거래,경남 창원시 성산구,24.12.23,아파트
94,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,49.9400,202412,10,"13,000",-,10,개인,개인,1992,대정로 131,-,중개거래,경남 창원시 성산구,-,아파트
95,경상남도 창원시 성산구 성주동,168,0168,0000,프리빌리지2차,124.9884,202412,10,"57,950",-,12,개인,개인,2010,창원대로1209번길 22,-,중개거래,경남 창원시 성산구,-,아파트
96,경상남도 창원시 성산구 성주동,168,0168,0000,프리빌리지2차,161.7775,202412,10,"49,400",213,1,개인,법인,2010,창원대로1209번길 22,-,직거래,-,24.12.11,아파트
97,경상남도 창원시 성산구 안민동,197,0197,0000,대동청솔,85.0000,202412,10,"23,500",-,14,개인,개인,1999,안민로101번길 29,-,중개거래,경남 창원시 성산구,-,아파트
98,경상남도 창원시 성산구 대방동,357,0357,0000,개나리1차,42.1800,202412,10,"13,200",-,12,개인,개인,1992,대정로 149,-,중개거래,경남 창원시 성산구,-,아파트
99,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,49.5100,202412,10,"15,800",205,7,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,24.12.26,아파트
100,경상남도 창원시 성산구 남양동,24,0024,0000,피오르빌,39.7000,202412,10,"10,500",-,1,개인,개인,1995,대정로 84,-,중개거래,경남 창원시 성산구,-,아파트
101,경상남도 창원시 성산구 반림동,4-1,0004,0001,현대2차,69.8400,202412,10,"31,000",-,7,개인,개인,1989,반송로 177,-,중개거래,경남 창원시 성산구,-,아파트
102,경상남도 창원시 성산구 외동,853-22,0853,0022,미지루,44.1900,202412,09,"9,800",-,12,개인,개인,1991,창원대로780번길 77,-,중개거래,경남 창원시 성산구,-,아파트
103,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,108.5000,202412,09,"39,000",-,13,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
104,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,09,"32,300",-,15,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
105,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202412,09,"22,700",-,13,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
106,경상남도 창원시 성산구 내동,452-14,0452,0014,월드메르디앙웨스턴애비뉴,84.8885,202412,09,"27,800",-,7,개인,개인,2009,삼동로128번길 24,-,중개거래,경남 창원시 성산구,-,아파트
107,경상남도 창원시 성산구 신촌동,21-2,0021,0002,삼미특수강,52.3300,202412,09,"7,500",-,1,개인,개인,1984,신촌로 51,-,직거래,-,-,아파트
108,경상남도 창원시 성산구 성주동,101,0101,0000,프리빌리지,84.8782,202412,09,"44,600",-,13,개인,개인,2003,대암로 253,-,중개거래,경남 창원시 성산구,-,아파트
109,경상남도 창원시 성산구 남양동,17,0017,0000,우성,83.4600,202412,09,"33,000",-,13,개인,개인,1989,대암로 22,-,중개거래,경남 창원시 성산구,-,아파트
110,경상남도 창원시 성산구 외동,853-16,0853,0016,월드메르디앙이스턴애비뉴,84.5558,202412,09,"29,300",-,13,개인,개인,2009,창원대로780번길 34,-,중개거래,경남 창원시 성산구,-,아파트
111,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,59.9800,202412,09,"44,000",-,6,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,-,아파트
112,경상남도 창원시 성산구 대원동,40,0040,0000,포레나대원,84.2843,202412,08,"67,200",104,11,개인,개인,2018,창원천로 34,-,중개거래,경남 창원시 성산구,24.12.26,아파트
113,경상남도 창원시 성산구 대원동,81,0081,0000,대원파크빌,52.9200,202412,08,"10,100",-,11,개인,개인,1997,삼동로 121,-,중개거래,경남 창원시 성산구,-,아파트
114,경상남도 창원시 성산구 대원동,81,0081,0000,대원파크빌,52.9200,202412,08,"10,000",-,13,개인,개인,1997,삼동로 121,-,중개거래,경남 창원시 성산구,-,아파트
115,경상남도 창원시 성산구 반림동,4-1,0004,0001,현대2차,69.8400,202412,08,"35,200",-,8,개인,개인,1989,반송로 177,-,중개거래,경남 창원시 성산구,-,아파트
116,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,118.9700,202412,07,"30,500",-,3,개인,개인,1991,대정로 73,-,중개거래,경남 창원시 성산구,-,아파트
117,경상남도 창원시 성산구 대방동,371,0371,0000,대동디지털황토방,84.9026,202412,07,"38,900",-,5,개인,개인,2001,창이대로881번길 8,-,중개거래,경남 창원시 성산구,-,아파트
118,경상남도 창원시 성산구 대방동,371,0371,0000,대동디지털황토방,84.9026,202412,07,"36,500",-,1,개인,개인,2001,창이대로881번길 8,-,중개거래,경남 창원시 성산구,-,아파트
119,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202412,07,"11,550",-,17,개인,개인,1992,대암로 126,-,중개거래,경남 창원시 성산구,-,아파트
120,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,59.9800,202412,07,"44,000",-,16,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,-,아파트
121,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,84.9500,202412,07,"56,500",-,9,개인,개인,2007,원이대로 449,-,중개거래,경남 창원시 성산구,-,아파트
122,경상남도 창원시 성산구 안민동,196,0196,0000,안민동위드필하임,59.9746,202412,07,"23,200",-,23,개인,개인,2019,안민로 49-6,-,중개거래,경남 창원시 성산구,-,아파트
123,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,49.9500,202412,07,"20,000",117,9,개인,법인,1995,동산로 115,-,중개거래,경남 창원시 성산구,24.12.23,아파트
124,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,07,"32,900",-,14,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
125,경상남도 창원시 성산구 신촌동,22-4,0022,0004,동성1차,59.8200,202412,07,"10,000",-,1,개인,개인,1986,신촌로 95,-,중개거래,경남 창원시 성산구,-,아파트
126,경상남도 창원시 성산구 남양동,22,0022,0000,성원2차,84.9200,202412,07,"24,500",-,10,개인,개인,1992,대정로 99,-,중개거래,경남 창원시 성산구,-,아파트
127,경상남도 창원시 성산구 남양동,22,0022,0000,성원2차,84.9200,202412,07,"26,800",-,10,개인,개인,1992,대정로 99,-,중개거래,경남 창원시 성산구,-,아파트
128,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,58.4510,202412,07,"21,000",-,8,개인,개인,1998,가양로 99,-,중개거래,경남 창원시 성산구,-,아파트
129,경상남도 창원시 성산구 대원동,40,0040,0000,포레나대원,68.2200,202412,06,"60,000",108,5,개인,개인,2018,창원천로 34,-,중개거래,경남 창원시 성산구,24.12.16,아파트
130,경상남도 창원시 성산구 성주동,168,0168,0000,프리빌리지2차,161.7775,202412,06,"63,000",213,23,개인,개인,2010,창원대로1209번길 22,-,중개거래,경남 창원시 성산구,24.12.20,아파트
131,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,140.7500,202412,06,"32,000",-,1,개인,개인,1991,대정로 73,-,중개거래,경남 창원시 성산구,-,아파트
132,경상남도 창원시 성산구 용호동,63,0063,0000,롯데1단지,67.4600,202412,06,"58,000",-,3,개인,개인,1986,용지로 229,-,중개거래,경남 창원시 성산구,-,아파트
133,경상남도 창원시 성산구 용호동,63,0063,0000,롯데1단지,132.5700,202412,06,"104,500",-,1,개인,개인,1984,용지로 229,-,중개거래,경남 창원시 성산구,-,아파트
134,경상남도 창원시 성산구 대방동,376,0376,0000,대방그린빌,49.8650,202412,06,"14,500",4,16,개인,개인,1996,대암로 256,-,중개거래,경남 창원시 성산구,24.12.20,아파트
135,경상남도 창원시 성산구 사파동,148,0148,0000,무궁화,51.5700,202412,05,"25,500",-,1,개인,개인,1988,동산로 148,-,중개거래,경남 창원시 성산구,-,아파트
136,경상남도 창원시 성산구 성주동,153,0153,0000,유니온빌리지,84.9457,202412,05,"38,200",-,16,개인,개인,2005,삼정자로 79,-,중개거래,경남 창원시 성산구,-,아파트
137,경상남도 창원시 성산구 성주동,168,0168,0000,프리빌리지2차,124.9884,202412,05,"60,000",-,15,개인,개인,2010,창원대로1209번길 22,-,중개거래,경남 창원시 성산구,-,아파트
138,경상남도 창원시 성산구 가음동,13,0013,0000,창원가음한화꿈에그린,84.9521,202412,05,"63,900",-,20,개인,개인,2017,원이대로878번길 9,-,중개거래,경남 창원시 성산구,-,아파트
139,경상남도 창원시 성산구 사파동,143,0143,0000,동서,52.3100,202412,05,"26,500",-,5,개인,개인,1998,신사로 116,-,중개거래,경남 창원시 성산구,-,아파트
140,경상남도 창원시 성산구 용호동,69,0069,0000,용지더샵레이크파크,84.4750,202412,05,"88,500",104,6,개인,개인,2017,외동반림로 156,-,중개거래,경남 창원시 성산구,24.12.26,아파트
141,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,84.9004,202412,05,"72,000",-,25,개인,개인,2018,가음정로 59,-,중개거래,경남 창원시 성산구,-,아파트
142,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,108.5000,202412,05,"45,000",504,2,개인,개인,1994,원이대로 774,-,직거래,-,24.12.09,아파트
143,경상남도 창원시 성산구 남산동,601-26,0601,0026,남산효성해링턴플레이스,59.9192,202412,05,"26,800",-,13,개인,개인,2018,정동로162번길 78,-,중개거래,경남 창원시 성산구,-,아파트
144,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9100,202412,04,"32,300",506,25,개인,개인,1994,원이대로 774,-,직거래,-,24.12.04,아파트
