NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
62,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202211,30,"21,200",-,10,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
63,경상남도 창원시 의창구 대산면 가술리,108-1,0108,0001,해강그린,84.3600,202211,29,"7,000",-,1,-,-,1994,진산대로 437,-,중개거래,경남 밀양시 경남 창원의창구,-,아파트
64,경상남도 창원시 의창구 소답동,127-1,0127,0001,소답서광빌라,81.9000,202211,29,"10,900",-,2,-,-,1990,의안로66번길 25,-,중개거래,경남 창원의창구,-,아파트
65,경상남도 창원시 의창구 소답동,144-2,0144,0002,보람,59.9800,202211,29,"13,500",-,2,-,-,1996,읍성로89번길 8,-,중개거래,경남 창원의창구,-,아파트
66,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,59.9700,202211,28,"20,950",-,1,-,-,2014,감계로 297,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
67,경상남도 창원시 의창구 북면 감계리,232-1,0232,0001,감계아내에코프리미엄2차,59.8956,202211,28,"27,800",-,10,-,-,2019,감계로 342,-,중개거래,경남 창원의창구,-,아파트
68,경상남도 창원시 의창구 북면 무동리,104-1,0104,0001,창원무동STX칸1차,59.9900,202211,28,"19,900",-,18,-,-,2015,무동서로 76,-,중개거래,경남 창원의창구,-,아파트
69,경상남도 창원시 의창구 북면 무동리,122-1,0122,0001,휴먼빌2단지,84.9940,202211,25,"21,000",-,12,-,-,2013,동곡로 35,-,중개거래,경남 창원의창구,-,아파트
70,경상남도 창원시 의창구 소계동,468-1,0468,0001,럭키,54.0600,202211,24,"8,950",-,4,-,-,1991,금강로379번길 16-9,-,중개거래,경남 창원마산회원구 경남 창원의창구,-,아파트
71,경상남도 창원시 의창구 북면 감계리,227-1,0227,0001,창원감계힐스테이트3차,84.7702,202211,24,"29,000",-,18,-,-,2014,감계로 259,-,중개거래,경남 창원의창구,-,아파트
72,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202211,23,"21,000",-,10,-,-,2018,무동서로 24,20230112,중개거래,경남 창원의창구,-,아파트
73,경상남도 창원시 의창구 소답동,408-6,0408,0006,청학,59.8750,202211,23,"12,400",-,6,-,-,1994,의안로70번길 21,-,중개거래,경남 창원의창구,-,아파트
74,경상남도 창원시 의창구 동정동,288,0288,0000,동정오성아파트,59.9700,202211,23,"15,750",-,8,-,-,1996,서상로 27,-,중개거래,경남 창원의창구,-,아파트
75,경상남도 창원시 의창구 북면 무동리,124-1,0124,0001,창원무동센텀파라디아,59.9932,202211,23,"21,000",-,10,-,-,2018,무동서로 24,-,중개거래,경남 창원의창구,-,아파트
76,경상남도 창원시 의창구 북면 동전리,128,0128,0000,창원동전월드메르디앙,67.6322,202211,23,"16,750",-,2,-,-,2016,동전로224번길 3,-,중개거래,경남 창원의창구,-,아파트
77,경상남도 창원시 의창구 도계동,363-1,0363,0001,제일파크,59.9450,202211,22,"12,300",-,10,-,-,1992,하남천동길 60,-,중개거래,경남 창원의창구,-,아파트
78,경상남도 창원시 의창구 도계동,324-7,0324,0007,금강국화,80.8200,202211,22,"13,000",-,5,-,-,1996,하남천서길9번길 6,-,직거래,-,-,아파트
79,경상남도 창원시 의창구 북면 감계리,229-1,0229,0001,휴먼빌,84.9300,202211,22,"25,000",-,18,-,-,2014,감계로 297,-,중개거래,경남 창원의창구,-,아파트
80,경상남도 창원시 의창구 소계동,723-1,0723,0001,수정맨션,56.3400,202211,22,"7,900",-,2,-,-,1985,소계로 101,-,직거래,-,-,아파트
81,경상남도 창원시 의창구 도계동,363-1,0363,0001,제일파크,59.9450,202211,22,"12,300",-,12,-,-,1992,하남천동길 60,20221123,중개거래,경남 창원의창구,-,아파트
82,경상남도 창원시 의창구 북면 감계리,227-2,0227,0002,감계아내에코프리미엄1차,84.9832,202211,21,"29,000",-,9,-,-,2014,감계로 277,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
83,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,103.4900,202211,21,"49,000",-,7,-,-,2011,도계로 135,-,중개거래,경남 창원의창구,-,아파트
84,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,84.1031,202211,21,"80,000",-,26,-,-,2019,중동로 34,-,중개거래,경남 창원의창구,-,아파트
