시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201604,28,"        19,000",5,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201604,28,"        18,250",4,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201604,28,"        18,250",5,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201605,2,"        18,250",3,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201605,25,"        17,375",2,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,25-21,0025,0021,무학빌라(2동),70.82,61.76,201606,29,"        15,400",4,2016,자산서10길 69-25
경상남도 창원마산합포구 자산동,188-6,0188,0006,자산81국민,51.4,44.75,201602,15,"         6,100",2,1982,자산북1길 18
경상남도 창원마산합포구 자산동,11-11,0011,0011,태평양빌라,59.07,30.93,201507,28,"        10,900",2,1991,문신길 12
경상남도 창원마산합포구 장군동1가,25-5,0025,0005,성지빌라3차,49.89,32.45,201602,17,"         8,750",3,2002,반월북2길 20-3
경상남도 창원마산합포구 장군동4가,26-86,0026,0086,청원그린빌라A,51.34,26.58,201603,29,"        20,000",4,2002,완월동15길 13
경상남도 창원마산합포구 장군동4가,26-86,0026,0086,청원그린빌라A,51.34,26.58,201603,31,"        22,000",3,2002,완월동15길 13
경상남도 창원마산합포구 장군동4가,26-86,0026,0086,청원그린빌라A,51.34,26.58,201604,5,"        22,000",2,2002,완월동15길 13
경상남도 창원마산합포구 장군동4가,26-86,0026,0086,청원그린빌라A,51.34,26.58,201604,6,"        22,000",5,2002,완월동15길 13
경상남도 창원마산합포구 중성동,16-8,0016,0008,중석뉴타운,83.57,42.76,201510,13,"        20,500",3,2014,오동서16길 23
경상남도 창원마산합포구 중앙동2가,1-432,0001,0432,원호주택,60.03,43.3,201604,1,"        11,000",2,1981,중앙동3길 32-7
경상남도 창원마산합포구 중앙동2가,5-100,0005,0100,중앙빌라2,65.64,37.74,201508,3,"        11,000",2,2001,중앙남4길 24
경상남도 창원마산합포구 중앙동2가,5-100,0005,0100,중앙빌라2,60.96,35.04,201508,23,"        11,200",4,2001,중앙남4길 24
경상남도 창원마산합포구 진동면 요장리,268-3,0268,0003,새한,73.215,41.4,201510,6,"         9,500",1,1998,광암2길 26
경상남도 창원마산합포구 진동면 진동리,126-2,0126,0002,선우2차,74.46,55.13,201507,27,"        13,500",3,2011,신성산로 6-15
경상남도 창원마산합포구 진동면 진동리,126-2,0126,0002,선우2차,74.46,55.13,201508,13,"        13,700",3,2011,신성산로 6-15
경상남도 창원마산합포구 진동면 진동리,883-6,0883,0006,장미국민주택,59.31,64.2,201507,16,"         5,500",3,1985,서촌바다길 29
경상남도 창원마산합포구 진동면 진동리,883-6,0883,0006,장미국민주택,59.31,64.2,201511,27,"         5,200",1,1985,서촌바다길 29
경상남도 창원마산합포구 진동면 진동리,883-6,0883,0006,장미국민주택,59.31,64.2,201512,1,"         5,700",3,1985,서촌바다길 29
경상남도 창원마산합포구 창포동3가,1-3,0001,0003,창포동유신주택,111.42,87,201603,1,"        16,350",3,1987,문화동10길 22
경상남도 창원마산합포구 청계동,5-1,0005,0001,아민아트빌라,124.56,59.91,201507,30,"        20,000",3,1996,문화남7길 20
경상남도 창원마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.65,6.39,201509,1,"         5,100",7,1998,해안대로 25
경상남도 창원마산합포구 해운동,64-1,0064,0001,동방그랜드타운,25.34,7.14,201512,19,"         5,500",7,1998,해안대로 25
경상남도 창원마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.65,6.39,201601,19,"         5,800",5,1998,해안대로 25
경상남도 창원마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.65,6.39,201602,25,"         5,000",5,1998,해안대로 25
경상남도 창원마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.65,6.39,201605,2,"         5,500",7,1998,해안대로 25
