시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201610,12,"        17,200",5,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201610,27,"        17,500",2,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,77.72,62.35,201611,17,"        18,200",4,2015,신리길 25
경상남도 창원의창구 북면 신촌리,887-3,0887,0003,올라뷰,76.7,61.51,201701,31,"        17,350",5,2015,신리길 25
경상남도 창원의창구 북면 신촌리,879-1,0879,0001,올라빌,73.491,76.31,201705,2,"        15,150",4,2013,신리길30번길 20
경상남도 창원의창구 서상동,10-21,0010,0021,대암빌라B동,80.561,48.36,201610,14,"        11,000",4,2001,천주로12번길 34-15
경상남도 창원의창구 서상동,10-21,0010,0021,대암빌라B동,73.6,44.18,201701,12,"        11,500",1,2001,천주로12번길 34-15
경상남도 창원의창구 서상동,10-3,0010,0003,동원빌라,61.37,49.83,201705,29,"        12,000",1,1997,의창대로211번길 6-4
경상남도 창원의창구 서상동,313-7,0313,0007,삼창연립A동,56.3,45,201608,23,"        12,000",2,1983,의창대로211번길 5
경상남도 창원의창구 서상동,348-1,0348,0001,성수빌라21차,73.22,49.54,201703,16,"        14,100",2,1997,천주로12번길 6
경상남도 창원의창구 소계동,701-24,0701,0024,대양동백빌라,73.33,41.69,201612,12,"        12,000",2,2002,소계로106번길 19
경상남도 창원의창구 소계동,701-33,0701,0033,둥지빌라2차,76.02,42.18,201612,23,"        12,500",3,2002,금강로355번길 36
경상남도 창원의창구 소계동,720-3,0720,0003,뜨라페,54.45,41.04,201607,18,"        23,181",4,2016,소계로 131-9
경상남도 창원의창구 소계동,720-3,0720,0003,뜨라페,54.45,41.04,201705,23,"        20,000",3,2016,소계로 131-9
경상남도 창원의창구 소계동,702-24,0702,0024,세광빌라,70.65,50.59,201706,4,"         9,200",3,1991,금강로355번길 26-10
경상남도 창원의창구 소계동,719-13,0719,0013,옥산빌라,55.17,27.24,201703,14,"         9,300",1,1990,소계로128번길 13
경상남도 창원의창구 소계동,714-1,0714,0001,정원연립B동,48.83,27.09,201701,2,"         7,500",2,1983,소계로90번길 10
경상남도 창원의창구 소계동,719-3,0719,0003,초계블루빌,81.18,71.64,201701,19,"        19,000",3,2014,소계로132번길 6
경상남도 창원의창구 소계동,719-3,0719,0003,초계블루빌,52.5864,46.41,201703,4,"        18,000",5,2014,소계로132번길 6
경상남도 창원의창구 소계동,721-21,0721,0021,한보,47.07,45.29,201607,4,"         9,400",2,1983,소계로 117
경상남도 창원의창구 소답동,135-20,0135,0020,가원빌라나동,68.775,37.61,201612,29,"        14,800",3,2003,의안로28번길 32
