시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 석전동,45-5,0045,0005,건우만복빌라다동,59.94,46.81,201712,26,"         8,000",2,1993,회원서1길 79-1
경상남도 창원마산회원구 석전동,46-2,0046,0002,건우빌라,58.17,32.41,201806,19,"         5,900",3,1993,회원서1길 74
경상남도 창원마산회원구 석전동,170-2,0170,0002,대우(170-2),60.63,50.31,201708,29,"         9,800",2,1983,석전북7길 32
경상남도 창원마산회원구 석전동,225-21,0225,0021,무진드림빌딩,76.14,20.47,201802,22,"        11,000",3,2002,석전동17길 3
경상남도 창원마산회원구 석전동,178-2,0178,0002,삼성아트빌,47.57,58.17,201710,6,"        12,900",2,2012,석전북7길 59
경상남도 창원마산회원구 석전동,178-2,0178,0002,삼성아트빌,47.57,58.17,201711,11,"        12,500",2,2012,석전북7길 59
경상남도 창원마산회원구 석전동,221-8,0221,0008,석전동제일,58.52,25.21,201804,19,"         6,500",3,1983,석전동16길 39
경상남도 창원마산회원구 석전동,35-18,0035,0018,석전동주택,38.96,15.96,201802,11,"         6,200",3,2003,무학로 701
경상남도 창원마산회원구 석전동,226-2,0226,0002,통합상가,47.47,3.37,201709,27,"         5,900",4,1980,석전동15길 23
경상남도 창원마산회원구 석전동,281-1,0281,0001,하이아트빌2차,70.58,37.35,201710,30,"        11,500",2,2004,석전서8길 91
경상남도 창원마산회원구 석전동,175-2,0175,0002,한진맨션,56.96,32.89,201708,11,"         7,300",2,1997,석전북7길 43
경상남도 창원마산회원구 석전동,175-2,0175,0002,한진맨션,56.96,32.89,201804,6,"         7,300",2,1997,석전북7길 43
경상남도 창원마산회원구 석전동,282-5,0282,0005,황강주택,55.5458,41.19,201709,16,"        12,000",3,2004,석전서8길 45
경상남도 창원마산회원구 양덕동,73-3,0073,0003,(73-3),44.43,43.67,201804,9,"        10,000",2,1981,양덕서6길 22
경상남도 창원마산회원구 양덕동,20-19,0020,0019,best빌,36.51,21.27,201803,27,"         6,000",1,2003,양덕북5길 81
경상남도 창원마산회원구 양덕동,51-31,0051,0031,금천빌딩,43.494,16.17,201806,26,"        10,000",7,2013,양덕로 120
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,47.44,28.7,201709,2,"         8,550",3,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,57.72,28.7,201710,17,"         9,000",3,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,57.72,28.7,201712,28,"         8,000",4,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,47.44,28.7,201805,19,"         7,000",4,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,49.36,28.7,201805,21,"         7,600",4,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,158-14,0158,0014,송학,53.95,28.7,201805,24,"         9,000",2,1979,양덕동1길 10
경상남도 창원마산회원구 양덕동,61-37,0061,0037,양덕,37.22,25.12,201707,20,"         5,000",3,1981,양덕남2길 12
경상남도 창원마산회원구 양덕동,61-37,0061,0037,양덕,37.22,25.12,201710,16,"         7,000",2,1981,양덕남2길 12
경상남도 창원마산회원구 양덕동,61-37,0061,0037,양덕,37.22,25.12,201804,25,"         4,000",3,1981,양덕남2길 12
경상남도 창원마산회원구 양덕동,61-37,0061,0037,양덕,37.22,25.12,201806,5,"         5,000",2,1981,양덕남2길 12
경상남도 창원마산회원구 양덕동,158-7,0158,0007,타코마,54.94,42.03,201712,6,"        10,700",1,1976,양덕로 65
경상남도 창원마산회원구 양덕동,158-7,0158,0007,타코마,54.94,42.03,201801,31,"         8,000",3,1976,양덕로 65
경상남도 창원마산회원구 양덕동,156-13,0156,0013,터미널,43.64,42.83,201709,11,"         3,500",1,1978,양덕남9길 76-41
경상남도 창원마산회원구 양덕동,12-55,0012,0055,팔용,73.22,41.3,201711,18,"         7,000",4,1978,양덕북20길 5
