□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,194.4,202004,28,"        45,180",1978,대원로52번가길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,194.7,202002,12,"        47,143",2007,대원로
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,194.83,202004,17,"        48,254",1999,대원로86번길
경상남도 창원의창구 대원동,*,단독,12m미만,63.4,195.2,202005,15,"        50,618",1978,대원로104번길
경상남도 창원의창구 대원동,*,단독,8m미만,94.59,195.3,202004,25,"        50,790",1978,대원로90번길
경상남도 창원의창구 대원동,3*,단독,25m미만,72.23,195.6,202006,12,"        72,590",1978,대원로
경상남도 창원의창구 대원동,*,단독,25m미만,72.23,195.8,202003,2,"        69,036",2007,대원로
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,195.9,201912,3,"        48,000",1978,대원로64번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,195.9,202001,22,"        45,800",1978,대원로90번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,196,201912,9,"        44,221",1978,대원로56번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,196.1,202004,14,"        48,003",2007,대원로52번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,196.5,202004,14,"        47,711",1999,대원로56번길
경상남도 창원의창구 대원동,3*,단독,25m미만,222.22,196.5,202003,27,"        81,518",2007,대원로
경상남도 창원의창구 대원동,*,단독,8m미만,63.4,196.6,202005,17,"        49,800",1978,대원로82번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,196.7,202004,3,"        52,442",2007,대원로57번길
경상남도 창원의창구 대원동,*,단독,12m미만,63.4,196.8,201911,18,"        45,900",1979,대원로104번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,196.8,202002,4,"        46,503",2007,대원로90번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,196.8,202002,11,"        47,415",2007,대원로
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,197,202003,17,"        48,488",2007,대원로52번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,197.5,202001,17,"        47,300",2007,대원로56번길
경상남도 창원의창구 대원동,*,단독,8m미만,78,198.2,202001,9,"        47,000",1985,대원로86번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,198.5,202001,17,"        49,215",2007,대원로53번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,198.8,202003,13,"        49,102",2007,대원로52번길
경상남도 창원의창구 대원동,*,단독,8m미만,68.66,198.9,202001,8,"        46,500",1983,대원로90번길
경상남도 창원의창구 대원동,*,단독,8m미만,68.66,198.9,202005,19,"        48,400",1983,대원로90번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,199,202002,12,"        50,200",1978,대원로52번가길
경상남도 창원의창구 대원동,3*,단독,8m미만,124,199.1,202003,13,"        57,631",2007,대원로53번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,200.2,202003,9,"        47,881",2007,대원로56번길
경상남도 창원의창구 대원동,3*,단독,8m미만,120.58,200.5,202001,17,"        48,960",2007,대원로57번길
경상남도 창원의창구 대원동,*,단독,25m미만,72.12,201.1,202003,6,"        72,865",2007,대원로90번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,201.3,202003,17,"        49,382",2007,대원로90번길
경상남도 창원의창구 대원동,*,단독,12m미만,72.12,201.4,202005,12,"        51,279",1979,대원로104번길
경상남도 창원의창구 대원동,*,단독,25m미만,63.4,201.8,202001,17,"        70,793",2007,대원로
경상남도 창원의창구 대원동,1*,단독,25m미만,105.21,201.9,202003,6,"        58,883",2007,대원로66번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,202.3,202003,31,"        48,013",1999,대원로104번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,202.9,201912,19,"        50,534",1978,대원로52번길
경상남도 창원의창구 대원동,3*,단독,25m미만,72.23,203.1,202005,6,"        71,305",1978,대원로
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,203.1,202004,11,"        51,437",1978,대원로86번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,203.2,201912,13,"        49,000",1979,대원로90번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,203.3,202002,24,"        51,600",1978,대원로57번길
경상남도 창원의창구 대원동,*,단독,12m미만,72.12,203.4,202001,17,"        51,992",2007,대원로104번길
경상남도 창원의창구 대원동,2*,단독,8m미만,94.28,203.4,202006,23,"        49,566",1978,대원로56번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,203.5,202002,12,"        50,840",1978,대원로90번길
경상남도 창원의창구 대원동,*,단독,25m미만,72.22,203.9,202001,17,"        78,341",2007,대원로
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,204.1,202001,17,"        49,673",2007,대원로60번길
경상남도 창원의창구 대원동,*,단독,25m미만,72.23,204.2,202001,17,"        70,147",2007,대원로
경상남도 창원의창구 대원동,2*,단독,8m미만,72.12,204.6,202003,17,"        48,086",2007,대원로56번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,204.6,202003,9,"        56,093",2007,대원로82번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,205.4,201911,16,"        46,050",1978,대원로90번길
경상남도 창원의창구 대원동,*,단독,12m미만,72.23,205.7,201912,7,"        49,000",1978,대원로104번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,206.1,202005,31,"        49,500",1978,대원로52번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.12,206.3,202005,2,"        52,688",1980,대원로52번길
경상남도 창원의창구 대원동,3*,단독,8m미만,63.4,206.4,202001,17,"        47,731",2007,대원로56번길
경상남도 창원의창구 대원동,3*,단독,25m미만,72.23,206.7,202003,2,"        72,979",2007,대원로
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,207,202003,13,"        54,882",2007,대원로104번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,207.6,202006,2,"        53,257",1978,대원로60번길
경상남도 창원의창구 대원동,1*,단독,25m미만,72.23,207.7,202002,4,"        61,216",2007,대원로66번길
경상남도 창원의창구 대원동,2*,단독,8m미만,113.14,207.7,202002,26,"        52,750",1978,대원로56번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,207.9,202003,2,"        50,147",2007,대원로82번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,208.3,202002,4,"        50,890",1978,대원로60번길
경상남도 창원의창구 대원동,3*,단독,8m미만,125,208.6,202001,17,"        48,652",2007,대원로56번길
경상남도 창원의창구 대원동,*,단독,8m미만,72.23,209.2,201912,16,"        51,200",1978,대원로90번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,209.2,202001,17,"        66,144",2007,대원로57번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,209.3,202001,17,"        49,844",2007,대원로60번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,209.3,202006,21,"        58,000",1978,대원로
경상남도 창원의창구 대원동,3*,단독,12m미만,72.23,209.8,202003,17,"        69,449",2007,대원로57번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.12,210.4,202005,9,"        53,050",1979,대원로64번길
경상남도 창원의창구 대원동,1*,단독,25m미만,72.23,210.6,202003,5,"        74,916",2007,대원로
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,210.7,201912,3,"        51,000",1978,대원로52번가길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.12,210.8,202001,17,"        58,226",2007,대원로60번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,210.9,202003,17,"        53,323",2007,대원로64번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,211.2,202006,11,"        57,780",1978,대원로57번길
