□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2020-07-01 ~ 2020-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
32,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202011,28,"18,500",3,-,-,2003,냉천로107번길 14,-,-,-,-,연립
33,경상남도 창원시 진해구 경화동,1171-2,1171,0002,중앙,53.2900,53.3000,202011,28,"4,300",2,-,-,1981,충장로235번길 3-8,-,-,-,-,연립
34,경상남도 창원시 진해구 자은동,977-1,0977,0001,대동빌라트2단지,76.2300,97.7305,202011,28,"15,800",3,-,-,1996,냉천로108번길 5-16,-,-,-,-,연립
35,경상남도 창원시 진해구 자은동,977-1,0977,0001,대동빌라트2단지,76.2300,97.7305,202011,27,"14,500",4,-,-,1996,냉천로108번길 5-16,-,-,-,-,연립
36,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,118.5300,202011,25,"26,000",1,-,-,2003,석동로 80,-,-,-,-,연립
37,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202011,23,"17,000",4,-,-,2003,냉천로107번길 14,-,-,-,-,연립
38,경상남도 창원시 진해구 석동,367-4,0367,0004,석화빌라,99.3000,84.0770,202011,23,"13,300",2,-,-,2001,돌리로22번길 5-5,-,-,-,-,다세대
39,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,127.1900,202011,23,"24,800",2,-,-,2003,석동로 80,-,-,-,-,연립
40,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202011,21,"16,800",3,-,-,2003,석동로 80,-,-,-,-,연립
41,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202011,21,"21,500",3,-,-,2003,석동로 80,-,-,-,-,연립
