□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-01-01 ~ 2024-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
51,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.6900,9.3600,202409,12,"2,100",4,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
52,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,29.1300,11.0400,202409,12,"2,400",4,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
53,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,26.9500,10.2100,202409,12,"2,300",4,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
54,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.1300,9.1400,202409,12,"2,000",3,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
55,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.6900,9.3600,202409,12,"2,100",3,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
56,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,29.1300,11.0400,202409,12,"2,400",3,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
57,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,26.9500,10.2100,202409,12,"2,300",3,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
58,경상남도 창원시 진해구 경화동,934-5,0934,0005,태성빌리지,24.1300,9.1400,202409,12,"2,000",2,개인,개인,2002,충장로345번길 34,-,직거래,-,24.09.13,다세대
59,경상남도 창원시 진해구 여좌동,34-40,0034,0040,청산빌라,65.7000,39.7000,202409,11,"5,000",2,개인,개인,1997,여좌로118번가길 11-1,-,직거래,-,24.09.23,연립
60,경상남도 창원시 진해구 경화동,1311-1,1311,0001,경화빌라,67.6800,63.7000,202409,09,"10,300",3,개인,개인,1988,병암북로3번길 30,-,중개거래,경남 창원시 마산합포구,24.10.22,연립다세대
61,경상남도 창원시 진해구 여좌동,101-1,0101,0001,세진체리힐가든,152.0400,82.2800,202409,02,"35,500",4,개인,개인,1991,여명로25번라길 22,-,중개거래,경남 창원시 진해구,24.10.07,연립
62,경상남도 창원시 진해구 자은동,776-3,0776,0003,유성빌라,58.7400,36.2600,202409,01,"4,500",4,개인,개인,1989,진해대로976번길 6-2,-,중개거래,경남 창원시 진해구,24.09.06,연립
63,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202408,29,"21,750",3,개인,개인,2003,석동로 80,-,중개거래,경남 창원시 진해구,24.09.04,연립
64,경상남도 창원시 진해구 석동,282-5,0282,0005,안성그랜드빌라,74.4300,36.7000,202408,26,"6,800",3,개인,개인,1994,돌리로10번길 7,-,중개거래,경남 창원시 진해구,24.10.21,연립다세대
65,경상남도 창원시 진해구 경화동,1433-2,1433,0002,유일전원빌라107,117.6500,84.7450,202408,26,"15,250",3,개인,개인,1995,조천로35번길 22,-,중개거래,경남 창원시 진해구,24.09.23,연립
66,경상남도 창원시 진해구 자은동,951-15,0951,0015,삼익나동,45.9000,38.1667,202408,19,"7,500",2,개인,개인,1989,진해대로913번길 20-1,-,직거래,-,24.08.19,다세대
67,경상남도 창원시 진해구 속천동,4-2,0004,0002,유진파크뷰B동,74.1300,29.3043,202408,17,"11,500",3,개인,개인,2012,속천로 57,-,중개거래,경남 창원시 진해구,24.08.29,다세대
68,경상남도 창원시 진해구 대죽동,15-161,0015,0161,성호연립,44.8200,50.0760,202408,16,"3,000",3,법인,개인,1991,속천로84번길 3,-,중개거래,경남 창원시 성산구,24.08.19,다세대
69,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,112.4100,202408,15,"21,500",4,개인,개인,2003,석동로 80,-,중개거래,경남 창원시 진해구,24.08.30,연립
70,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,74.9600,104.5800,202408,15,"20,600",1,개인,개인,2003,석동로 80,-,중개거래,경남 창원시 진해구,24.09.04,연립
71,경상남도 창원시 진해구 자은동,668-6,0668,0006,봉산빌라,67.9500,52.1200,202408,13,"5,700",3,개인,개인,1992,진해대로976번길 6-7,-,중개거래,경남 창원시 진해구,24.08.14,연립다세대
72,경상남도 창원시 진해구 태백동,4-489,0004,0489,(4-489),52.1600,60.5000,202408,02,"4,000",2,개인,개인,1980,태백서로 41-13,-,중개거래,경남 창원시진해구,24.08.05,연립
73,경상남도 창원시 진해구 충무동,16-1,0016,0001,일신,58.0200,39.2505,202407,31,"4,600",2,개인,개인,1977,충장로100번길 1-1,-,직거래,-,24.08.08,다세대
