□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
12,경상남도 창원시 마산회원구 내서읍 상곡리,156,0156,0000,동은빌,46.0800,62.8000,202212,07,"4,500",1,-,-,2012,상곡로 93-7,-,중개거래,경남 창원마산회원구,-,다세대
13,경상남도 창원시 마산회원구 내서읍 중리,1451-48,1451,0048,의창국민주택,55.9800,52.6833,202212,06,"6,400",1,-,-,1985,광려천서로 149,-,중개거래,경남 창원마산회원구,-,연립
14,경상남도 창원시 마산회원구 석전동,226-2,0226,0002,통합상가,47.4700,3.3000,202211,29,"7,650",2,-,-,1980,석전동15길 23,-,중개거래,경남 창원마산회원구,-,연립
15,경상남도 창원시 마산회원구 회원동,407-27,0407,0027,(407-27),41.8200,30.4667,202211,24,"3,100",1,-,-,1979,회원동1길 14,-,직거래,-,-,연립
16,경상남도 창원시 마산회원구 회원동,157-2,0157,0002,태우국민주택,50.4900,54.0541,202211,23,"10,000",4,-,-,1982,3·15대로 550-3,-,직거래,-,-,연립다세대
17,경상남도 창원시 마산회원구 회원동,248-4,0248,0004,곰빌라,81.9525,35.2130,202211,23,"7,500",3,-,-,1995,회원서1길 50-2,-,중개거래,경남 창원의창구,-,다세대
18,경상남도 창원시 마산회원구 회원동,669-1,0669,0001,81회원봉화,46.1200,41.1080,202211,22,"7,800",2,-,-,1982,회원북25길 10,-,직거래,-,-,연립
19,경상남도 창원시 마산회원구 회원동,637-15,0637,0015,한솔빌리지,79.3350,51.8375,202211,16,"12,000",4,-,-,2014,회원북13길 142,-,직거래,-,-,연립
20,경상남도 창원시 마산회원구 양덕동,산2-4,0002,0004,백령하이츠빌라,81.9300,42.9204,202211,14,"12,000",1,-,-,1995,양덕동18길 56,-,중개거래,경남 창원마산회원구,-,연립
21,경상남도 창원시 마산회원구 회원동,647-3,0647,0003,진달래,48.6000,61.0629,202211,14,"4,700",3,-,-,1984,회원서10길 13,-,중개거래,경남 창원마산회원구,-,연립
